GEOID20,C000,CNS15,CNS16,CNS17,CNS18
060590011011000,2,0,0,0,0
060590011011002,4,0,0,0,0
060590011011007,3,0,3,0,0
060590011011011,26,0,11,0,3
060590011011012,169,0,117,0,18
060590011012000,52,39,1,0,0
060590011012001,2,0,2,0,0
060590011012002,1,0,0,0,0
060590011012005,4,0,0,0,0
060590011012009,29,4,5,0,8
060590011012010,49,0,0,0,6
060590011013000,69,0,4,0,31
060590011013001,515,0,8,0,133
060590011013002,3,0,0,0,0
060590011013003,6,0,6,0,0
060590011013007,6,0,6,0,0
060590011014000,63,0,57,0,0
060590011014006,3,0,0,0,0
060590011014007,4,0,0,0,0
060590011014008,2,0,2,0,0
060590011014009,1,0,1,0,0
060590011014010,1,0,0,0,0
060590011014012,116,0,1,0,31
060590011021000,59,0,11,0,15
060590011021001,8,0,1,0,0
060590011021003,32,0,23,0,5
060590011021004,32,0,0,0,5
060590011021005,4,0,3,0,0
060590011021006,2,0,2,0,0
060590011021007,2,0,2,0,0
060590011021009,4,0,0,0,0
060590011022000,499,96,1,0,0
060590011022001,1,0,1,0,0
060590011022002,1,0,1,0,0
060590011022003,4,0,4,0,0
060590011022007,6,6,0,0,0
060590011022009,17,0,5,0,0
060590011023000,61,3,2,0,33
060590011023003,2,0,2,0,0
060590011023007,4,0,0,0,0
060590011023008,4,0,4,0,0
060590011031000,120,3,10,0,0
060590011031001,260,0,0,0,53
060590011031004,5,0,0,0,0
060590011031008,105,40,3,0,33
060590011032000,2,0,0,0,0
060590011032001,1,0,0,0,0
060590011032003,201,14,113,0,0
060590011032006,3,0,3,0,0
060590011032007,1,0,1,0,0
060590011032010,6,0,6,0,0
060590011032011,3,0,2,0,0
060590011033000,108,108,0,0,0
060590011033001,169,169,0,0,0
060590011033002,171,0,2,0,38
060590011033004,2,0,2,0,0
060590011033006,5,0,0,0,0
060590011033007,3,0,3,0,0
060590011033008,67,0,67,0,0
060590012011000,5,0,2,0,0
060590012011001,1,0,1,0,0
060590012011004,28,0,0,0,0
060590012011005,1,0,1,0,0
060590012011007,1,0,1,0,0
060590012011008,8,0,5,0,0
060590012011009,4,0,4,0,0
060590012012002,273,261,2,0,0
060590012012003,1,0,1,0,0
060590012012004,2,0,2,0,0
060590012012005,74,0,74,0,0
060590012012006,1,0,0,0,0
060590012012007,7,0,7,0,0
060590012012008,38,0,2,0,0
060590012012009,10,0,8,0,0
060590012012010,8,0,8,0,0
060590012012011,5,0,2,0,0
060590012012012,1,0,1,0,0
060590012012013,11,0,0,0,0
060590012012014,13,0,0,0,0
060590012013000,39,0,0,0,4
060590012013001,30,0,11,0,0
060590012013002,6,0,0,0,0
060590012013003,71,5,4,0,0
060590012021003,6,0,0,0,0
060590012021004,1,0,1,0,0
060590012021005,9,0,5,0,0
060590012021007,1,0,1,0,0
060590012021009,24,0,0,0,3
060590012021010,10,0,2,0,0
060590012021011,8,0,0,0,8
060590012022000,33,0,0,0,23
060590012022001,1,0,1,0,0
060590012022004,11,0,1,0,0
060590012022006,1,0,1,0,0
060590012022007,2,0,2,0,0
060590012022008,8,6,2,0,0
060590012022009,329,0,21,36,0
060590012023000,30,0,0,0,20
060590012023001,24,0,2,0,1
060590012023002,371,0,13,0,0
060590012023003,19,0,7,0,0
060590012023004,7,0,7,0,0
060590012023005,8,0,0,0,0
060590012023006,4,0,0,0,0
060590012023007,13,0,4,1,0
060590012023010,1,0,1,0,0
060590012023011,1,0,1,0,0
060590012023012,37,0,0,0,0
060590012023013,30,0,2,0,0
060590012023014,5,0,2,0,0
060590013011000,280,5,107,0,0
060590013011001,8,0,1,0,0
