tract10,tract20,share
06059110203,06059110203,1.00000000
06059110301,06059110301,1.00000000
06059110302,06059110302,1.00000000
06059110303,06059110303,1.00000000
06059110304,06059110304,1.00000000
06059110401,06059110401,1.00000000
06059110402,06059110402,1.00000000
06059110500,06059110500,1.00000000
06059110603,06059110500,0.00307761
06059110603,06059110603,0.99692239
06059110604,06059110604,0.99082801
06059110604,06059110605,0.00917199
06059110605,06059110604,0.00104649
06059110605,06059110605,0.99895351
06059110606,06059110606,1.00000000
06059110607,06059110607,1.00000000
06059980000,06059980000,1.00000000
06059990100,06059062800,1.00000000
