tract10,tract20,share
06059032045,06059032044,0.00625626
06059032045,06059032045,0.97988521
06059032045,06059032065,0.01385853
06059032046,06059032044,0.00163353
06059032046,06059032046,0.99235574
06059032046,06059032066,0.00601073
06059032047,06059032047,1.00000000
06059032048,06059032047,0.00632955
06059032048,06059032048,0.99367045
06059032049,06059032049,1.00000000
06059032050,06059032049,0.04822272
06059032050,06059032050,0.95177728
06059032051,06059032051,1.00000000
06059032053,06059032053,1.00000000
06059032054,06059032054,1.00000000
06059032055,06059032044,0.00900155
06059032055,06059032055,0.99099845
06059032056,06059032045,0.00043209
06059032056,06059032046,0.00889796
06059032056,06059032065,0.42847816
06059032056,06059032066,0.56219180
06059032057,06059032057,1.00000000
06059032058,06059032022,0.04377775
06059032058,06059032058,0.95433166
06059032058,06059032061,0.00189059
06059032059,06059032058,0.00008246
06059032059,06059032059,0.99991754
06059032061,06059032022,0.03579708
06059032061,06059032058,0.17177583
06059032061,06059032061,0.79068122
06059032061,06059042312,0.00174587
06059042103,06059042115,0.19767747
06059042103,06059042116,0.80232253
06059042106,06059042106,0.99990881
06059042106,06059042201,0.00009119
06059042107,06059042107,1.00000000
06059042108,06059042108,1.00000000
06059042109,06059042109,0.98083098
06059042109,06059042114,0.01916902
06059042111,06059032062,0.00487050
06059042111,06059042111,0.97229486
06059042111,06059042112,0.01090427
06059042111,06059042205,0.01193038
06059042112,06059032062,0.03761810
06059042112,06059032063,0.02644949
06059042112,06059042111,0.00616433
06059042112,06059042112,0.92976807
06059042113,06059042109,0.00227529
06059042113,06059042113,0.98606344
06059042113,06059042114,0.01015549
06059042113,06059042116,0.00150577
06059042114,06059042114,1.00000000
06059042201,06059042106,0.00012848
06059042201,06059042201,0.99978808
06059042201,06059042313,0.00008344
06059042203,06059042201,0.00036894
06059042203,06059042203,0.97455485
06059042203,06059042205,0.00541346
06059042203,06059042312,0.01966275
06059042205,06059042203,0.00677507
06059042205,06059042205,0.99322493
06059042206,06059042201,0.00023384
06059042206,06059042206,0.99976616
06059042305,06059042305,0.99882728
06059042305,06059042323,0.00111811
06059042305,06059042324,0.00005461
06059042307,06059042307,1.00000000
06059042310,06059042340,0.26720075
06059042310,06059042341,0.73279925
06059042311,06059042311,0.99712161
06059042311,06059042339,0.00287839
06059042312,06059032061,0.00414649
06059042312,06059032064,0.00000235
06059042312,06059042203,0.00148244
06059042312,06059042312,0.99436872
06059042313,06059042313,1.00000000
06059042315,06059042311,0.00366882
06059042315,06059042315,0.99633118
06059042317,06059042317,1.00000000
06059042319,06059042319,0.98807695
06059042319,06059062633,0.01192305
06059042320,06059042320,1.00000000
06059042323,06059042305,0.00070237
06059042323,06059042313,0.00006626
06059042323,06059042323,0.99923136
06059042324,06059042305,0.00423773
06059042324,06059042317,0.00003429
06059042324,06059042324,0.99445751
06059042324,06059042325,0.00127047
06059042325,06059042305,0.06428368
06059042325,06059042324,0.00175072
06059042325,06059042325,0.92026411
06059042325,06059042326,0.01370150
06059042326,06059042325,0.00936865
06059042326,06059042326,0.99063135
06059042327,06059042327,0.99486190
06059042327,06059042328,0.00513810
06059042328,06059042327,0.00463061
06059042328,06059042328,0.99536939
06059042329,06059042329,1.00000000
06059042330,06059042330,1.00000000
06059042331,06059042331,1.00000000
06059042332,06059042331,0.05067267
06059042332,06059042332,0.94932733
06059042333,06059042333,1.00000000
06059042334,06059042334,0.99846262
06059042334,06059042335,0.00153738
06059042335,06059042335,1.00000000
06059042336,06059042336,1.00000000
06059042337,06059042311,0.01633269
06059042337,06059042315,0.00164143
06059042337,06059042332,0.08360925
06059042337,06059042337,0.89841662
06059042338,06059042338,1.00000000
06059042339,06059042339,1.00000000
06059052404,06059052408,0.00154170
06059052404,06059052422,0.00348434
06059052404,06059052438,0.39550862
06059052404,06059052439,0.59946533
06059052408,06059052408,1.00000000
06059052410,06059052410,1.00000000
06059052411,06059052411,1.00000000
06059052415,06059052415,0.99408378
06059052415,06059052424,0.00591622
06059052416,06059052416,1.00000000
06059052417,06059052417,1.00000000
06059052418,06059052417,0.00024386
06059052418,06059052431,0.16474283
06059052418,06059052432,0.30709210
06059052418,06059052433,0.52792122
06059052419,06059052419,0.99590221
06059052419,06059052437,0.00409779
06059052420,06059021912,0.00042793
06059052420,06059021924,0.00136073
06059052420,06059052419,0.00484224
06059052420,06059052434,0.25282527
06059052420,06059052435,0.24612508
06059052420,06059052436,0.21668701
06059052420,06059052437,0.27319370
06059052420,06059075607,0.00453804
06059052421,06059052421,1.00000000
06059052422,06059052408,0.00003420
06059052422,06059052422,0.99575631
06059052422,06059052425,0.00026492
06059052422,06059052438,0.00394457
06059052423,06059052423,1.00000000
06059052424,06059052424,1.00000000
06059052425,06059052422,0.00203630
06059052425,06059052425,0.99796370
06059052426,06059052429,0.37395026
06059052426,06059052430,0.61860419
06059052426,06059052438,0.00744555
06059052427,06059052427,1.00000000
06059052428,06059052428,1.00000000
06059052502,06059052502,0.99497926
06059052502,06059052527,0.00502074
06059052505,06059052505,1.00000000
06059052506,06059052506,1.00000000
06059052511,06059052511,1.00000000
06059052513,06059052513,1.00000000
06059052514,06059052514,1.00000000
06059052515,06059052529,0.38769628
06059052515,06059052530,0.61230372
06059052517,06059052531,0.39392807
06059052517,06059052532,0.60607193
06059052518,06059052518,0.99927210
06059052518,06059062653,0.00072790
06059052519,06059052519,1.00000000
06059052520,06059052520,1.00000000
06059052521,06059052521,1.00000000
06059052522,06059052522,1.00000000
06059052523,06059052523,1.00000000
06059052524,06059052524,1.00000000
06059052525,06059052524,0.00621554
06059052525,06059052533,0.47650132
06059052525,06059052534,0.15072600
06059052525,06059052535,0.36655715
06059052526,06059052526,1.00000000
06059052527,06059052527,0.99854574
06059052527,06059052535,0.00145426
06059052528,06059052528,1.00000000
06059062604,06059062643,0.00001574
06059062604,06059062649,0.00178496
06059062604,06059062652,0.01444083
06059062604,06059062654,0.43126736
06059062604,06059062655,0.33064047
06059062604,06059062656,0.22185063
06059062605,06059062605,1.00000000
06059062610,06059062610,0.99647874
06059062610,06059063904,0.00057322
06059062610,06059063908,0.00009266
06059062610,06059063909,0.00045889
06059062610,06059075516,0.00239650
06059062611,06059062611,0.99912119
06059062611,06059062614,0.00087881
06059062612,06059062650,0.62390594
06059062612,06059062651,0.37609406
06059062614,06059062614,0.99978921
06059062614,06059062655,0.00021079
06059062619,06059062619,1.00000000
06059062620,06059062619,0.00886921
06059062620,06059062620,0.99113079
06059062621,06059052410,0.00285790
06059062621,06059052518,0.00026120
06059062621,06059062648,0.00002512
06059062621,06059062649,0.00575190
06059062621,06059062652,0.39840638
06059062621,06059062653,0.58465895
06059062621,06059062654,0.00708272
06059062621,06059062655,0.00095584
06059062622,06059052410,0.00731059
06059062622,06059052411,0.02351790
06059062622,06059062622,0.96917152
06059062625,06059062625,1.00000000
06059062626,06059062626,0.99729249
06059062626,06059062627,0.00270751
06059062627,06059062627,1.00000000
06059062628,06059062628,1.00000000
06059062629,06059062629,1.00000000
06059062630,06059062630,1.00000000
06059062631,06059062631,1.00000000
06059062632,06059062620,0.00410605
06059062632,06059062632,0.97047634
06059062632,06059062633,0.02541761
06059062633,06059042325,0.01132584
06059062633,06059062632,0.00192839
06059062633,06059062633,0.98674576
06059062634,06059062634,0.99972249
06059062634,06059062649,0.00027751
06059062635,06059062635,0.98049960
06059062635,06059062641,0.01005502
06059062635,06059062648,0.00834473
06059062635,06059062649,0.00110065
06059062636,06059062636,1.00000000
06059062637,06059062637,1.00000000
06059062638,06059062638,1.00000000
06059062639,06059062639,1.00000000
06059062640,06059062640,1.00000000
06059062641,06059062641,1.00000000
06059062642,06059062642,1.00000000
06059062643,06059062643,1.00000000
06059062644,06059062645,0.00216852
06059062644,06059062657,0.32540145
06059062644,06059062658,0.67243003
06059062645,06059062645,1.00000000
06059062646,06059062646,0.99065273
06059062646,06059062647,0.00934727
06059062647,06059032014,0.03088026
06059062647,06059062647,0.96911974
06059062648,06059062648,1.00000000
06059062649,06059062649,0.97382009
06059062649,06059062652,0.02607523
06059062649,06059062656,0.00010468
06059062701,06059062701,1.00000000
06059062702,06059062702,1.00000000
06059062800,06059062800,1.00000000
06059062900,06059062900,1.00000000
06059063004,06059063004,1.00000000
06059063005,06059063005,1.00000000
06059063006,06059063006,1.00000000
06059063007,06059062610,0.00220211
06059063007,06059063007,0.99779789
06059063008,06059063008,1.00000000
06059063009,06059063009,1.00000000
06059063010,06059063010,1.00000000
06059063101,06059063101,1.00000000
06059063102,06059063102,1.00000000
06059063103,06059063103,1.00000000
06059063201,06059063201,1.00000000
06059063202,06059063202,1.00000000
06059063301,06059063301,1.00000000
06059063302,06059063302,1.00000000
06059063400,06059063302,0.00028433
06059063400,06059063400,0.99971567
06059063500,06059063500,1.00000000
06059063601,06059063601,1.00000000
06059063603,06059063603,1.00000000
06059063604,06059063604,1.00000000
06059063605,06059063605,1.00000000
06059063701,06059063701,0.99899345
06059063701,06059063808,0.00100655
06059063702,06059063702,1.00000000
06059063802,06059063802,1.00000000
06059063803,06059063803,1.00000000
06059063805,06059063805,1.00000000
06059063806,06059063806,1.00000000
06059063807,06059063807,1.00000000
06059063808,06059063808,1.00000000
06059063902,06059063902,1.00000000
06059063903,06059063902,0.00674425
06059063903,06059063903,0.99325575
06059063904,06059063904,1.00000000
06059063905,06059063905,1.00000000
06059063906,06059063906,1.00000000
06059063907,06059063909,0.42171602
06059063907,06059063910,0.57772109
06059063907,06059074107,0.00056289
06059063908,06059063908,1.00000000
06059074003,06059074003,1.00000000
06059074004,06059074004,1.00000000
06059074005,06059074005,0.99904358
06059074005,06059074006,0.00095642
06059074006,06059074006,1.00000000
06059074102,06059074102,1.00000000
06059074103,06059074103,1.00000000
06059074106,06059063910,0.00527648
06059074106,06059074106,0.99472352
06059074107,06059063910,0.00132658
06059074107,06059074107,0.99867342
06059074108,06059074108,1.00000000
06059074109,06059074109,1.00000000
06059074110,06059074110,1.00000000
06059074111,06059074111,1.00000000
06059074200,06059074200,1.00000000
06059074300,06059074300,1.00000000
06059074403,06059074403,1.00000000
06059074405,06059074405,1.00000000
06059074406,06059074406,1.00000000
06059074407,06059074407,1.00000000
06059074408,06059074408,1.00000000
06059074501,06059074501,1.00000000
06059074502,06059074502,1.00000000
06059074601,06059074601,1.00000000
06059074602,06059074602,1.00000000
06059074701,06059074701,1.00000000
06059074702,06059074102,0.00027467
06059074702,06059074702,0.99972533
06059074801,06059074801,1.00000000
06059074802,06059074802,1.00000000
06059074803,06059074803,1.00000000
06059074805,06059074805,1.00000000
06059074806,06059074806,1.00000000
06059074901,06059074901,1.00000000
06059074902,06059074902,1.00000000
06059075002,06059075002,1.00000000
06059075003,06059075003,1.00000000
06059075004,06059075004,1.00000000
06059075100,06059075100,1.00000000
06059075201,06059075201,1.00000000
06059075202,06059075202,1.00000000
06059075301,06059075301,0.95287290
06059075301,06059076001,0.01474194
06059075301,06059076102,0.03238516
06059075302,06059075302,1.00000000
06059075303,06059075303,1.00000000
06059075401,06059075401,1.00000000
06059075403,06059075403,1.00000000
06059075404,06059075404,1.00000000
06059075405,06059075405,1.00000000
06059075504,06059075504,1.00000000
06059075505,06059075505,1.00000000
06059075506,06059075505,0.00397384
06059075506,06059075506,0.99602616
06059075507,06059075507,1.00000000
06059075512,06059075512,1.00000000
06059075513,06059075513,1.00000000
06059075514,06059075514,1.00000000
06059075515,06059052523,0.00000163
06059075515,06059052530,0.01213601
06059075515,06059074003,0.00048878
06059075515,06059074403,0.00125697
06059075515,06059075516,0.35570251
06059075515,06059075517,0.26861637
06059075515,06059075518,0.36179773
06059075603,06059075603,1.00000000
06059075604,06059075604,0.99998369
06059075604,06059075703,0.00001631
06059075605,06059075605,1.00000000
06059075606,06059075606,1.00000000
06059075607,06059075607,1.00000000
06059075701,06059075701,1.00000000
06059075702,06059075702,1.00000000
06059075703,06059075703,1.00000000
06059075805,06059075805,0.96383442
06059075805,06059075815,0.03616558
06059075806,06059075806,0.98408135
06059075806,06059075807,0.00953516
06059075806,06059075808,0.00638350
06059075807,06059075807,1.00000000
06059075808,06059075808,1.00000000
06059075809,06059075809,1.00000000
06059075810,06059075810,1.00000000
06059075811,06059075811,0.99835062
06059075811,06059075812,0.00164938
06059075812,06059075811,0.00008506
06059075812,06059075812,0.99991494
06059075813,06059075813,1.00000000
06059075814,06059075809,0.02220460
06059075814,06059075814,0.97779540
06059075815,06059075815,1.00000000
06059075816,06059075816,1.00000000
06059075901,06059075901,1.00000000
06059075902,06059075902,1.00000000
06059076000,06059075301,0.00114299
06059076000,06059076001,0.79582523
06059076000,06059076002,0.20303178
06059076101,06059076102,0.00057052
06059076101,06059076104,0.56573901
06059076101,06059076105,0.42935468
06059076101,06059086303,0.00366102
