GEOID,B08141_E001,B08141_E002,B08141_E003,B08141_E004,B08141_E005,B08141_E016,B08141_E017,B08141_E018,B08141_E019,B08141_E020,B08141_M001,B08141_M002,B08141_M003,B08141_M004,B08141_M005,B08141_M016,B08141_M017,B08141_M018,B08141_M019,B08141_M020
06059001101,2303,0,201,906,1196,39,0,0,27,12,223,12,99,216,266,34,12,12,29,19
06059001102,1677,0,227,652,798,19,0,0,11,8,190,12,118,199,223,21,12,12,16,13
06059001103,1732,52,236,780,664,47,0,0,47,0,236,85,102,146,229,60,12,12,60,12
06059001201,2671,121,365,910,1275,91,10,0,25,56,288,88,140,233,400,74,17,17,39,61
06059001202,1737,39,210,636,852,35,0,13,6,16,221,35,100,175,222,31,12,17,9,23
06059001301,3350,19,573,1283,1475,137,0,0,51,86,354,29,190,351,354,85,17,17,42,75
06059001303,3032,10,396,1268,1358,18,0,0,18,0,238,16,122,215,220,21,17,17,21,17
06059001304,1624,53,211,581,779,9,0,0,0,9,192,49,83,146,189,14,12,12,12,14
06059001401,2296,159,423,751,963,112,70,30,12,0,291,131,153,230,299,89,81,32,17,12
06059001402,2365,15,123,1148,1079,80,0,0,50,30,303,22,66,273,286,79,17,17,66,46
06059001403,1522,0,145,558,819,0,0,0,0,0,160,12,100,150,159,12,12,12,12,12
06059001404,1871,0,152,599,1120,35,0,0,35,0,267,12,73,201,279,38,12,12,38,12
06059001501,2562,55,306,1150,1051,61,0,0,37,24,276,89,121,261,286,57,17,17,45,38
06059001503,2884,70,306,1272,1236,0,0,0,0,0,306,63,92,194,346,17,17,17,17,17
06059001504,2385,51,578,779,977,55,23,0,21,11,256,50,137,194,257,41,23,12,21,29
06059001505,3868,13,367,1740,1748,75,0,0,35,40,391,23,163,389,447,68,17,17,39,55
06059001506,1823,0,116,848,859,5,0,0,5,0,194,12,54,177,239,10,12,12,10,12
06059001507,2500,11,513,1003,973,6,0,0,6,0,260,20,131,194,217,10,12,12,10,12
06059001601,3317,84,235,1936,1062,83,36,13,0,34,325,85,130,334,300,61,44,20,17,38
06059001602,2361,17,232,1013,1099,44,0,0,28,16,186,20,74,165,225,32,12,12,26,18
06059001704,3624,15,152,1924,1533,79,0,8,50,21,380,26,107,334,401,66,17,16,63,34
06059001705,1877,32,317,669,859,19,0,0,13,6,182,33,138,188,222,21,12,12,19,12
06059001706,1576,0,138,390,1048,58,0,0,29,29,188,12,59,128,229,41,12,12,27,31
06059001707,3525,16,348,1456,1705,15,0,0,0,15,318,24,212,325,412,25,17,17,17,25
06059001708,1517,9,123,400,985,24,0,0,24,0,221,14,66,138,249,38,12,12,38,12
06059001801,2047,136,423,780,708,120,37,58,25,0,286,90,161,210,270,88,55,79,38,17
06059001802,3446,145,629,1033,1639,22,0,0,0,22,429,94,216,394,407,34,17,17,17,34
06059001901,1434,14,105,540,775,17,0,0,12,5,129,20,48,113,165,16,12,12,14,8
06059001902,1549,27,106,465,951,13,7,6,0,0,124,34,56,106,124,15,12,9,12,12
06059001903,1619,23,223,509,864,47,0,26,21,0,166,21,110,155,179,47,12,35,32,12
06059011000,3264,63,735,972,1494,27,0,14,13,0,380,79,204,289,472,31,17,22,22,17
06059011101,2411,102,659,761,889,75,0,55,20,0,341,66,176,313,295,72,12,62,31,12
06059011102,2064,18,122,632,1292,25,0,0,0,25,199,46,107,218,250,28,12,12,12,28
06059011200,1707,76,251,833,547,81,0,26,43,12,275,64,76,150,310,50,12,24,34,21
06059011300,2479,2,391,1174,912,66,0,50,16,0,345,9,154,307,405,57,17,52,25,17
06059011401,876,0,169,377,330,35,0,0,24,11,124,12,78,97,112,22,12,12,19,12
06059011402,1234,9,93,527,605,29,0,7,4,18,99,14,39,93,125,21,12,10,7,16
06059011403,3027,71,666,1408,882,54,0,16,22,16,234,54,206,301,260,37,17,18,25,20
06059011502,2046,105,441,611,889,54,32,22,0,0,232,68,105,156,258,39,29,26,12,12
06059011503,884,15,44,281,544,67,15,0,15,37,132,24,30,75,141,47,24,12,15,37
06059011504,2754,60,908,1107,679,67,31,36,0,0,384,67,275,338,349,51,36,40,17,17
