GEOID,B08141_E001,B08141_E002,B08141_E003,B08141_E004,B08141_E005,B08141_E016,B08141_E017,B08141_E018,B08141_E019,B08141_E020,B08141_M001,B08141_M002,B08141_M003,B08141_M004,B08141_M005,B08141_M016,B08141_M017,B08141_M018,B08141_M019,B08141_M020
06059063010,3219,64,922,1406,827,30,0,0,30,0,358,79,202,387,260,46,17,17,46,17
06059063101,2000,0,398,1201,401,0,0,0,0,0,181,12,118,198,210,12,12,12,12,12
06059063102,3875,53,586,2111,1125,0,0,0,0,0,370,66,218,346,376,17,17,17,17,17
06059063103,1381,34,125,686,536,0,0,0,0,0,167,30,60,172,159,12,12,12,12,12
06059063201,2177,0,446,1264,467,32,0,32,0,0,226,12,140,276,155,53,12,53,12,12
06059063202,2119,38,337,741,1003,8,0,8,0,0,293,35,114,215,300,13,12,13,12,12
06059063301,1930,11,470,1163,286,0,0,0,0,0,192,17,118,251,196,12,12,12,12,12
06059063302,2558,15,371,1203,969,9,0,0,9,0,241,24,103,263,278,14,12,12,14,12
06059063400,2395,20,274,1163,938,0,0,0,0,0,219,32,117,238,217,12,12,12,12,12
06059063500,4218,115,751,1444,1908,84,0,22,62,0,594,99,235,432,557,85,17,35,78,17
06059063601,2132,0,218,911,1003,17,0,0,0,17,193,12,73,180,220,26,12,12,12,26
06059063603,3911,99,991,1702,1119,0,0,0,0,0,470,102,278,377,458,17,17,17,17,17
06059063604,2170,19,477,1148,526,127,0,34,93,0,317,20,146,279,273,89,12,32,83,12
06059063605,2648,47,481,1350,770,261,23,55,59,124,320,52,169,273,297,185,35,84,71,147
06059063701,3020,112,378,1286,1244,86,15,15,17,39,338,92,150,287,348,50,16,23,18,39
06059063702,3448,79,564,1247,1558,71,0,37,0,34,532,83,201,358,543,66,17,34,17,57
06059063802,1252,0,225,584,443,0,0,0,0,0,179,12,85,169,210,12,12,12,12,12
06059063803,2455,62,357,1338,698,0,0,0,0,0,227,66,180,208,207,12,12,12,12,12
06059063805,1343,0,59,529,755,44,0,0,20,24,124,12,32,97,145,29,12,12,25,30
06059063806,2076,35,303,1048,690,7,0,0,7,0,172,40,181,203,218,11,12,12,11,12
06059063807,2515,212,666,1226,411,181,165,16,0,0,312,194,233,360,242,184,183,28,12,12
06059063808,3098,134,545,1224,1195,154,86,18,44,6,262,129,247,293,332,115,103,29,48,15
06059063902,4467,61,765,2216,1425,36,0,0,36,0,468,60,256,487,510,41,17,17,41,17
06059063903,2081,0,159,764,1158,0,0,0,0,0,311,12,98,202,294,12,12,12,12,12
06059063904,2041,46,193,827,975,78,0,41,0,37,252,63,106,211,265,74,12,59,12,53
06059063905,2526,48,496,841,1141,33,22,11,0,0,336,45,140,222,332,29,24,16,12,12
