GEOID20,C000,CNS15,CNS16,CNS17,CNS18
060590011011000,1,0,0,0,0
060590011011002,1,0,0,0,0
060590011011004,4,0,0,0,0
060590011011007,2,0,2,0,0
060590011011011,23,0,9,0,0
060590011011012,223,0,164,0,10
060590011012000,55,40,1,0,0
060590011012001,3,0,3,0,0
060590011012002,1,0,0,0,0
060590011012005,4,0,0,0,0
060590011012009,28,2,6,0,8
060590011012010,45,0,0,0,6
060590011013000,88,16,7,0,24
060590011013001,465,0,8,0,116
060590011013002,3,0,0,0,0
060590011013003,4,0,4,0,0
060590011013004,1,0,0,0,0
060590011013007,5,0,5,0,0
060590011014000,57,0,54,0,0
060590011014002,2,0,0,0,0
060590011014006,3,0,0,0,0
060590011014007,10,0,0,0,0
060590011014008,1,0,1,0,0
060590011014009,4,0,1,0,0
060590011014010,1,0,0,0,0
060590011014012,134,0,1,0,56
060590011021000,74,0,10,0,26
060590011021001,11,0,2,0,0
060590011021003,31,0,19,0,6
060590011021004,41,0,0,0,14
060590011021005,2,0,1,0,0
060590011021006,3,0,3,0,0
060590011021007,1,0,1,0,0
060590011021009,3,0,0,0,0
060590011022000,538,92,2,0,0
060590011022001,1,0,1,0,0
060590011022002,1,0,1,0,0
060590011022003,9,0,6,0,0
060590011022007,4,4,0,0,0
060590011022009,25,0,5,0,0
060590011023000,75,3,4,0,34
060590011023003,3,0,3,0,0
060590011023007,4,0,0,0,0
060590011023008,6,0,3,0,0
060590011023011,1,0,1,0,0
060590011031000,45,0,10,0,0
060590011031001,245,0,0,0,65
060590011031004,5,0,0,0,0
060590011031008,95,40,0,1,38
060590011032000,9,0,0,0,6
060590011032001,2,0,0,0,0
060590011032003,235,15,148,0,0
060590011032006,3,0,3,0,0
060590011032007,2,0,2,0,0
060590011032010,6,0,6,0,0
060590011032011,5,0,4,0,0
060590011033000,126,120,2,0,0
060590011033001,158,158,0,0,0
060590011033002,189,0,5,0,55
060590011033004,1,0,1,0,0
060590011033006,4,0,0,0,0
060590011033007,2,0,2,0,0
060590011033008,69,0,68,0,0
060590012011000,5,0,1,0,0
060590012011001,2,0,2,0,0
060590012011004,24,0,0,0,0
060590012011005,1,0,1,0,0
060590012011007,90,0,1,0,0
060590012011008,13,0,8,0,0
060590012011009,2,0,2,0,0
060590012011010,1,0,1,0,0
060590012012002,297,292,1,0,0
060590012012003,2,0,2,0,0
060590012012004,2,0,2,0,0
060590012012005,66,0,66,0,0
060590012012006,1,0,0,0,0
060590012012007,10,0,10,0,0
060590012012008,38,0,6,0,0
060590012012009,10,0,10,0,0
060590012012010,20,0,6,0,0
060590012012011,4,0,1,0,0
060590012012013,13,0,0,0,0
060590012012014,14,0,0,0,0
060590012013000,38,0,0,0,7
060590012013001,38,0,17,0,0
060590012013002,7,0,0,0,0
060590012013003,96,7,8,0,0
060590012021002,2,0,2,0,0
060590012021003,6,0,0,0,0
060590012021004,2,0,2,0,0
060590012021005,10,0,5,0,0
060590012021007,1,0,1,0,0
060590012021009,30,0,0,0,8
060590012021010,10,0,2,0,0
060590012021011,18,0,0,0,18
060590012022000,42,0,0,19,11
060590012022001,1,0,1,0,0
060590012022003,3,0,0,0,0
060590012022004,11,0,1,0,0
060590012022005,1,0,0,0,0
060590012022006,1,0,1,0,0
060590012022007,2,0,2,0,0
060590012022008,11,8,1,0,0
060590012022009,343,0,20,63,0
060590012023000,37,0,0,0,19
060590012023001,25,0,0,0,3
060590012023002,515,0,7,0,0
060590012023003,19,0,5,0,0
060590012023004,4,0,4,0,0
060590012023005,11,0,0,0,0
060590012023006,6,0,0,0,0
060590012023007,11,0,4,2,0
060590012023010,9,0,0,0,0
060590012023011,1,0,1,0,0
060590012023012,35,0,0,0,0
060590012023013,36,0,3,0,0
060590012023014,8,1,1,0,0
060590013011000,276,6,135,0,0
060590013011001,9,0,1,0,0
060590013011002,2,0,2,0,0
060590013011003,1,0,1,0,0
060590013011008,4,0,0,0,0
060590013011010,18,0,0,0,14
060590013011011,27,0,10,0,0
060590013012001,3,0,0,0,0
060590013012005,54,54,0,0,0
060590013012009,123,0,1,0,8
060590013012010,45,0,0,0,45
060590013012013,2,0,0,0,0
060590013012014,15,14,0,0,0
060590013012019,77,0,0,0,2
060590013013000,7,0,5,0,0
060590013013001,5,0,0,0,0
060590013013008,25,0,2,0,6
060590013013010,4,0,0,0,0
060590013013011,1,0,0,1,0
060590013014002,55,0,0,0,7
060590013014003,14,0,11,0,0
060590013014004,2,0,0,0,0
060590013014006,1,0,0,0,0
060590013014009,6,0,6,0,0
060590013015001,9,0,3,0,0
060590013015002,10,0,5,0,0
060590013015003,125,0,0,0,92
060590013015004,30,0,5,0,0
060590013015005,727,4,34,33,263
060590013015006,116,0,3,0,112
060590013015007,207,0,0,0,207
060590013031002,23,0,19,0,0
060590013031003,28,0,15,0,4
060590013031004,35,0,0,1,0
060590013031005,8,0,2,0,0
060590013031006,3,0,3,0,0
060590013031007,10,0,0,0,0
060590013032000,18,0,3,0,7
060590013032001,15,0,13,0,0
060590013032005,4,0,4,0,0
060590013033000,1,0,1,0,0
060590013033001,68,68,0,0,0
060590013033004,24,0,2,0,0
060590013033006,2,0,2,0,0
060590013033007,144,0,1,0,0
060590013033008,2,0,2,0,0
060590013033010,115,0,0,0,0
060590013033012,3,0,1,0,0
060590013033013,176,0,0,0,0
060590013033014,55,0,0,0,36
060590013033015,85,32,0,0,10
060590013041000,481,0,0,0,0
060590013041002,109,0,3,0,0
060590013041003,4,0,1,0,0
060590013041004,3,0,2,0,0
060590013041006,1,0,1,0,0
060590013041007,2,0,2,0,0
060590013041008,682,34,0,17,2
060590013041009,100,0,0,0,14
060590013041010,1,0,1,0,0
060590013042000,1,1,0,0,0
060590013042001,1,0,1,0,0
060590013042006,2,0,0,0,0
060590013042010,18,0,11,0,7
060590013042011,5,0,3,0,0
060590013042012,13,0,3,0,0
060590013042018,1,0,1,0,0
060590013042019,11,0,9,0,0
060590013042020,107,0,0,0,0
060590013042022,2,0,0,0,0
060590013042023,10,0,8,0,0
060590014011000,5,0,1,0,0
060590014011001,43,40,0,0,0
060590014011002,77,0,21,0,5
060590014011003,6,0,2,0,0
060590014011004,208,0,7,0,45
060590014011005,14,0,0,0,0
060590014012000,4,0,4,0,0
060590014012001,1,0,1,0,0
060590014012002,2,2,0,0,0
060590014012003,3,0,2,0,0
060590014012004,1,0,0,0,0
060590014012006,2,0,0,0,0
060590014012007,74,0,14,0,24
060590014012008,16,0,0,0,0
060590014012009,8,0,2,0,1
060590014013000,71,61,4,0,0
060590014013003,156,59,1,0,46
060590014013004,47,0,47,0,0
060590014013007,13,0,0,0,7
060590014013008,7,0,0,0,0
060590014014000,201,0,18,0,50
060590014014002,2,0,2,0,0
060590014014003,1,0,1,0,0
060590014021000,3,0,0,0,0
060590014021002,6,0,0,0,0
060590014021004,2,0,0,0,0
060590014021005,95,0,82,0,0
060590014021006,10,0,2,0,0
060590014021010,11,0,6,0,0
060590014022000,9,0,2,0,0
060590014022001,3,0,3,0,0
060590014022003,2,0,2,0,0
060590014022006,6,0,5,0,0
060590014022007,99,0,1,0,33
060590014022008,127,0,11,0,85
060590014022009,1,0,1,0,0
060590014023001,8,0,1,0,0
060590014023002,74,64,0,0,0
060590014023005,1,0,1,0,0
060590014023009,12,0,1,0,0
060590014031002,9,0,0,0,0
060590014031005,2,0,0,0,0
060590014031006,3,0,0,0,0
060590014031007,76,61,13,0,0
060590014031010,11,0,0,0,0
060590014031012,3,0,3,0,0
060590014031013,17,0,0,0,0
060590014031014,8,0,8,0,0
060590014032002,2,0,0,0,0
060590014032003,5,0,0,0,0
060590014032004,3,0,2,0,0
060590014032006,5,0,0,0,0
060590014032012,2,0,2,0,0
060590014032015,2,0,0,0,0
060590014032019,65,0,3,0,17
060590014032020,1,0,0,0,0
060590014032022,1,0,1,0,0
060590014032023,26,0,0,0,0
060590014041001,6,0,0,0,0
060590014041002,500,178,0,0,0
060590014041003,319,0,11,0,0
060590014041004,10,0,2,0,8
060590014041005,5,0,3,0,0
060590014041006,2,0,1,0,0
060590014041008,5,0,0,0,0
060590014041009,602,13,0,0,0
060590014041010,263,0,11,0,72
060590014041011,523,0,0,0,0
060590014041012,100,0,0,0,0
060590014041013,88,0,9,0,3
060590014041014,1515,24,45,0,28
060590014041018,994,0,32,0,123
060590014041019,45,0,0,0,26
060590014041020,40,7,0,0,28
060590014041021,5,0,5,0,0
060590014041024,58,0,46,0,0
060590014042000,38,0,3,0,20
060590014042002,5,0,0,0,0
060590014042006,8,0,3,0,0
060590014042007,26,0,7,0,14
060590014042008,1,1,0,0,0
060590014043000,99,0,7,0,36
060590014043001,10,0,3,0,0
060590014043002,55,47,0,0,0
060590014043003,22,0,4,0,0
060590014043004,8,0,2,0,0
060590014043005,129,0,0,0,0
060590014043007,314,0,31,0,0
060590014043008,892,0,0,0,0
060590014043009,113,0,0,0,18
060590015011000,2,0,2,0,0
060590015011001,123,0,12,0,0
060590015011002,1,0,0,0,0
060590015011004,2,0,1,0,0
060590015011007,2,0,0,0,0
060590015011010,5,0,3,0,0
060590015011015,190,0,9,0,17
060590015012000,12,0,1,0,0
060590015012010,10,0,0,0,0
060590015012015,18,0,5,0,0
060590015012022,6,0,0,6,0
060590015012023,5,0,1,0,0
060590015012024,7,0,0,0,0
060590015012026,13,0,1,0,0
060590015012028,11,0,0,0,0
060590015012035,2,0,0,0,0
060590015012036,1,0,0,0,0
060590015012047,537,0,0,0,0
060590015012049,523,0,0,0,0
060590015012050,846,0,21,0,13
060590015012051,293,0,0,0,0
060590015012052,1000,0,461,0,0
060590015012053,14,0,0,0,0
060590015013007,1,0,0,0,0
060590015013008,2,0,0,0,0
060590015013011,15,0,1,0,0
060590015013016,9,0,0,0,0
060590015013017,14,0,0,0,0
060590015013018,42,0,0,7,0
060590015013020,2,0,0,0,0
060590015031000,78,2,15,0,23
060590015031001,2,0,2,0,0
060590015031003,15,0,15,0,0
060590015031004,8,0,8,0,0
060590015031006,3,0,0,0,0
060590015031007,3,0,0,0,0
060590015032000,16,0,0,0,0
060590015032001,90,8,4,20,16
060590015032002,13,0,0,0,0
060590015032003,10,0,4,0,0
060590015032005,61,0,5,0,22
060590015033000,1,0,0,0,0
060590015033001,3,0,3,0,0
060590015033003,1,0,1,0,0
060590015033008,1,0,1,0,0
060590015033009,1,0,0,0,0
060590015033012,5,0,0,0,0
060590015033013,5,0,5,0,0
060590015034000,2082,5,1,0,0
060590015034001,435,0,7,0,19
060590015034002,212,0,4,0,0
060590015034003,587,0,44,0,0
060590015034007,2,0,2,0,0
060590015034009,3,0,0,0,0
060590015034010,19,8,0,0,5
060590015034011,14,0,2,0,0
060590015034012,13,0,1,0,0
060590015034013,77,66,0,0,0
060590015034014,5,0,5,0,0
060590015035000,15,0,8,0,0
060590015035002,1,0,1,0,0
060590015035003,4,0,0,4,0
060590015035004,135,0,19,6,31
060590015035005,117,0,16,0,0
060590015035007,1,0,0,0,0
060590015035008,63,0,0,0,63
060590015035009,2149,0,14,4,31
060590015035011,362,0,23,3,0
060590015035012,520,0,33,0,0
060590015035013,229,0,0,0,96
060590015035014,280,24,2,0,169
060590015035015,31,0,0,0,0
060590015035017,24,9,6,0,2
060590015035018,33,0,0,0,0
060590015035019,1,0,1,0,0
060590015041002,590,0,49,0,19
060590015041003,3,0,1,0,0
060590015041009,837,0,13,0,225
060590015041010,1,0,0,0,0
060590015041014,3613,124,7,22,681
060590015041015,51,0,51,0,0
060590015042001,469,0,33,13,178
060590015042002,2,0,0,0,0
060590015042003,27,0,0,0,0
