GEOID,B25044_E001,B25044_E003,B25044_E010,B25044_M001,B25044_M003,B25044_M010
06059001101,1395,0,34,136,19,34
06059001102,1094,42,41,138,47,42
06059001103,1497,0,147,225,13,117
06059001201,1408,6,52,145,10,52
06059001202,1067,0,112,138,13,71
06059001301,2745,113,100,226,113,144
06059001303,2107,19,59,318,23,42
06059001304,1038,51,30,108,46,46
06059001401,1510,29,102,142,32,69
06059001402,1451,11,56,137,17,53
06059001403,1220,0,0,274,13,13
06059001404,997,0,11,122,13,16
06059001501,2194,58,0,116,67,19
06059001503,1811,28,37,183,32,47
06059001504,1880,10,75,186,15,61
06059001505,2349,0,44,303,19,72
06059001506,1606,51,116,143,58,50
06059001507,2203,15,146,233,23,208
06059001602,1701,32,32,147,25,38
06059001603,1559,50,99,234,35,88
06059001604,1384,13,0,217,20,13
06059001704,2411,31,0,220,38,19
06059001705,1387,97,12,123,100,17
06059001706,1331,0,52,139,13,39
06059001708,1419,21,0,227,26,13
06059001709,887,45,13,134,49,23
06059001710,1628,0,9,185,13,15
06059001801,1659,0,59,337,19,50
06059001802,2248,26,184,306,31,188
06059001901,850,16,9,102,19,10
06059001902,809,10,20,116,14,22
06059001903,885,9,14,57,13,16
06059011000,2521,41,157,318,47,169
06059011101,1339,22,5,171,34,8
06059011102,1188,0,34,110,13,32
06059011200,1667,78,30,127,55,27
06059011300,2030,9,145,260,15,87
06059011401,663,3,0,77,6,13
06059011402,979,9,42,126,10,57
06059011403,1922,3,95,166,7,76
06059011502,1633,16,77,219,28,63
06059011503,553,32,0,106,28,13
06059011504,1795,41,247,138,63,130
06059011601,2240,17,223,183,26,146
06059011602,1760,16,57,236,19,55
06059011707,2437,31,0,291,30,19
06059011708,1695,0,37,130,13,36
06059011709,1315,20,0,141,22,13
06059011710,1167,10,42,187,15,49
06059011711,2425,0,118,172,19,96
06059011712,1521,22,0,113,23,13
06059011714,356,0,0,51,13,13
06059011715,2534,13,91,265,21,60
06059011716,1648,0,19,166,19,24
06059011717,896,9,35,67,6,33
06059011718,936,35,8,64,30,17
06059011720,1614,8,160,219,15,148
06059011721,1448,0,20,138,19,23
06059011722,1107,53,7,128,59,11
06059021802,2846,82,75,258,65,49
06059021807,1353,0,20,126,13,23
06059021809,1054,6,32,75,10,22
06059021810,1203,0,4,149,13,8
06059021812,2035,0,0,251,19,19
06059021813,3,0,0,7,13,13
06059021814,2829,40,14,283,62,22
06059021816,1929,16,7,266,18,10
06059021817,1185,7,0,102,10,13
06059021820,1548,8,0,179,13,13
06059021821,2537,35,16,234,47,25
06059021822,3085,45,0,308,50,21
06059021823,1342,45,0,157,51,13
06059021824,856,0,0,77,13,13
06059021825,1104,6,28,166,11,44
06059021826,1021,10,14,104,18,20
06059021827,958,8,0,88,12,13
06059021828,1302,83,26,101,83,38
06059021829,1592,6,0,135,8,13
06059021830,2092,0,0,258,19,19
06059021831,2032,38,0,192,38,19
06059021832,2102,0,0,253,19,19
06059021903,1394,47,0,232,41,13
06059021905,1799,7,98,206,11,49
06059021912,1440,0,0,158,13,13
06059021913,1971,44,22,166,43,36
06059021914,1280,30,20,96,27,29
06059021915,1419,59,0,148,73,13
06059021916,1240,11,121,82,18,62
06059021917,984,0,7,103,13,12
06059021918,1717,43,6,184,45,12
06059021919,1039,23,0,115,35,13
06059021920,2459,17,10,181,30,15
06059021921,1412,0,0,116,13,13
06059021922,2292,12,216,279,21,110
06059021923,2606,0,0,409,19,19
06059021924,1503,17,0,153,19,13
06059032002,1943,41,0,249,42,19
06059032003,1545,48,0,161,47,13
06059032011,672,0,0,68,13,13
06059032012,1165,8,0,99,14,13
06059032013,2190,48,230,285,56,159
06059032014,2072,40,122,207,33,46
06059032015,1873,18,0,184,22,19
06059032020,1896,9,20,159,15,23
06059032022,2006,15,15,195,24,24
06059032027,2023,19,5,160,15,9
06059032028,1469,10,42,168,17,32
06059032029,1388,7,0,117,13,13
06059032030,1217,28,8,96,20,18
06059032031,1143,10,0,120,15,13
06059032032,982,25,53,128,26,80
06059032033,1484,16,0,231,19,13
06059032034,1641,0,0,124,19,19
06059032035,928,5,0,117,8,13
06059032036,1203,8,7,129,14,11
06059032037,2443,61,16,397,44,26
06059032038,2052,9,0,232,21,19
06059032039,2146,14,0,351,23,19
06059032040,868,0,17,70,13,25
06059032041,372,8,0,71,8,13
06059032042,1983,10,0,253,15,19
06059032043,1081,0,23,84,13,38
06059032044,1951,0,0,205,19,19
06059032045,1094,0,0,167,13,13
06059032046,1988,0,0,186,19,19
06059032047,2139,26,10,287,24,16
06059032048,1983,35,11,170,30,19
06059032049,3162,0,0,316,21,21
06059032050,1658,9,0,146,15,13
06059032051,1930,34,29,190,52,33
06059032053,2993,28,0,333,35,19
06059032054,2248,31,425,339,50,271
06059032055,1338,4,75,159,8,52
06059032057,2528,22,57,218,28,60
06059032058,2137,0,0,135,19,19
06059032059,2705,0,58,179,19,72
06059032061,2158,24,25,224,28,30
06059032062,1224,0,0,125,13,13
06059032063,2469,30,69,233,48,109
06059032064,942,20,0,126,36,13
06059032065,1685,53,0,172,58,19
06059032066,2577,0,69,259,19,85
06059042106,828,0,0,102,13,13
06059042107,1313,48,57,195,49,53
06059042108,2496,40,73,374,45,83
06059042109,1819,29,13,201,32,20
06059042111,2047,23,0,192,43,19
06059042112,2334,35,0,290,52,19
06059042113,1772,25,47,202,41,30
06059042114,1430,9,25,171,14,38
06059042115,518,0,0,65,13,13
06059042116,2575,20,0,403,25,19
06059042201,2188,106,54,236,80,52
06059042203,3668,12,96,339,20,70
06059042205,2166,28,78,191,31,62
06059042206,1714,8,32,283,14,29
06059042305,1488,15,8,161,23,15
06059042307,2116,23,24,232,33,28
06059042311,2601,31,42,279,37,49
06059042312,2338,86,176,291,104,118
06059042313,2757,0,103,255,19,99
06059042315,2420,40,55,253,40,68
06059042317,1315,8,8,214,12,14
06059042319,1178,0,11,135,13,17
06059042320,2740,0,148,293,19,98
06059042323,2144,28,40,263,31,65
06059042324,2065,132,0,218,83,13
06059042325,1678,0,30,253,13,47
06059042326,1698,59,24,151,61,35
06059042327,1699,0,0,187,13,13
06059042328,845,0,0,133,13,13
06059042329,1440,14,16,162,18,24
06059042330,2376,0,35,255,19,33
06059042331,1945,0,15,138,19,26
06059042332,2420,60,59,286,51,69
06059042333,1787,0,0,213,13,13
06059042334,1938,97,92,228,84,128
06059042335,2372,0,32,229,19,39
06059042336,1364,37,32,127,48,42
06059042337,1268,20,0,123,21,13
06059042338,1950,18,0,284,20,19
06059042339,1392,9,19,197,14,20
06059042340,916,15,85,206,29,69
06059042341,2479,23,15,253,27,27
06059052408,2023,11,0,197,20,19
06059052410,2104,111,16,251,111,25
06059052411,1386,14,0,163,22,19
06059052415,1388,0,7,159,13,12
06059052416,1355,7,0,186,12,13
06059052417,2527,35,15,446,38,25
06059052419,1132,16,0,164,19,13
06059052421,3151,60,37,305,71,61
06059052422,3997,35,216,359,40,223
06059052423,2118,0,32,169,19,35
06059052424,1999,26,36,228,25,37
06059052425,2322,59,90,330,58,133
06059052427,1774,0,0,150,19,19
06059052428,2246,14,0,230,21,19
06059052429,3289,12,20,294,23,35
06059052430,5319,37,55,467,59,89
06059052431,1705,0,68,420,13,117
06059052432,2872,0,39,268,19,48
06059052433,4935,78,135,431,85,113
06059052434,1971,0,0,446,19,19
06059052435,2030,0,0,99,19,19
06059052436,1805,0,0,163,19,19
06059052437,1473,0,0,259,13,13
06059052438,1986,0,37,220,19,38
06059052439,2467,23,19,352,22,31
06059052502,1885,8,0,159,13,19
06059052505,1842,78,6,168,41,11
06059052506,923,12,0,117,17,13
06059052511,2599,16,118,455,26,95
06059052513,2155,75,137,183,102,91
06059052514,2116,29,76,236,33,65
06059052518,3926,0,449,367,19,192
06059052519,1550,28,47,140,26,53
06059052520,1321,9,15,148,15,25
06059052521,2397,0,90,294,19,71
06059052522,1345,0,17,110,13,18
06059052523,1478,21,25,115,29,21
06059052524,2616,0,117,236,19,99
06059052526,1378,29,0,112,45,13
06059052527,2711,63,91,256,61,68
06059052528,1464,15,54,274,19,59
06059052529,1058,31,81,230,46,73
06059052530,2273,0,63,310,19,51
06059052531,1435,0,86,246,13,86
06059052532,2484,30,39,235,52,62
06059052533,2640,0,60,288,19,75
06059052534,1230,0,0,270,13,13
06059052535,2421,0,87,444,19,102
06059062605,1685,32,106,182,37,52
06059062610,6518,18,413,421,29,192
06059062611,1673,7,290,147,12,97
06059062614,4092,18,801,363,29,232
06059062619,1633,37,14,216,31,22
06059062620,2355,22,0,351,35,19
06059062622,2898,208,156,317,126,104
06059062625,2128,105,61,245,49,59
06059062626,1001,0,282,146,13,159
06059062627,1585,39,408,282,35,217
06059062628,953,0,16,82,13,24
06059062629,800,3,0,63,6,13
06059062630,684,5,0,63,7,13
06059062631,1171,10,0,105,16,13
06059062632,1780,18,35,183,21,45
06059062633,1881,0,0,197,19,19
06059062634,1889,41,0,149,43,13
06059062635,1768,19,0,214,29,13
06059062636,1409,13,14,175,21,21
06059062637,2557,0,279,327,19,254
06059062638,2245,0,82,182,19,77
06059062639,2948,14,206,291,22,140
06059062640,1551,46,102,139,45,80
06059062641,1992,47,303,209,40,175
06059062642,1403,39,14,215,41,17
06059062643,2409,0,0,193,19,19
06059062645,2622,13,0,253,22,19
06059062646,2522,213,68,267,116,67
06059062647,2520,154,321,253,117,108
06059062648,2149,101,159,184,50,72
06059062649,2019,63,23,160,35,28
06059062650,1640,50,0,169,47,19
06059062651,1244,5,18,196,11,29
06059062652,1943,22,0,233,27,19
06059062653,2798,38,5,367,49,10
06059062654,2663,0,0,586,19,19
06059062655,1601,150,120,183,106,131
06059062656,1527,106,0,462,148,13
06059062657,1666,0,36,478,13,31
06059062658,2020,22,98,182,34,82
06059062701,1392,9,0,150,14,13
06059062702,2032,5,85,253,8,97
06059062800,1789,15,82,392,24,125
06059062900,765,25,6,116,27,9
06059063004,3092,0,105,271,19,88
06059063005,792,8,34,80,8,27
06059063006,1217,39,16,195,40,20
06059063007,2818,0,14,224,19,23
06059063008,1036,18,0,233,23,13
06059063009,665,6,0,82,9,13
06059063010,3146,0,143,323,19,107
06059063101,1335,0,23,160,13,36
06059063102,2565,0,74,207,19,63
06059063103,1289,20,0,217,25,13
06059063201,1550,0,53,157,13,72
06059063202,1444,75,47,187,89,37
06059063301,1524,0,8,199,13,12
06059063302,1566,0,0,117,13,13
06059063400,2022,10,38,196,18,57
06059063500,2869,26,82,411,28,80
06059063601,1689,12,0,241,18,13
06059063603,2815,50,273,331,56,213
06059063604,1549,9,155,173,13,115
06059063605,1590,36,41,229,43,47
06059063701,1855,27,142,238,34,75
06059063702,1972,0,172,180,19,96
06059063802,1071,9,0,177,14,13
06059063803,1615,20,0,175,24,13
06059063805,913,0,33,122,13,31
06059063806,1271,50,0,88,39,13
06059063807,2299,12,285,273,19,144
06059063808,1425,8,49,90,14,46
06059063902,2444,0,66,211,19,48
06059063903,1081,0,0,93,13,13
06059063904,1353,7,31,169,11,32
06059063905,1539,7,82,175,14,50
06059063906,2216,0,32,228,19,53
06059063908,2584,0,18,372,19,30
06059063909,1870,0,168,210,13,121
06059063910,1781,15,68,224,24,74
06059074003,1207,16,30,78,15,28
06059074004,2264,28,34,317,42,42
06059074005,1547,9,134,201,13,83
06059074006,1908,7,101,179,11,56
06059074102,1295,0,11,101,19,17
06059074103,1081,15,4,159,13,6
06059074106,1924,11,19,179,17,28
06059074107,2551,16,189,246,26,166
06059074108,926,34,10,97,34,14
06059074109,635,3,15,63,6,21
06059074110,962,8,10,130,9,14
06059074111,1394,42,0,194,23,19
06059074200,1628,9,69,128,14,67
06059074300,809,9,13,102,11,20
06059074403,1229,0,52,102,19,43
06059074405,1773,0,99,200,19,61
06059074406,811,16,0,91,14,13
06059074407,1803,36,65,191,27,38
06059074408,1467,7,78,148,11,58
06059074501,1450,0,132,201,19,143
06059074502,1161,98,27,203,130,27
06059074601,1786,32,58,286,41,66
06059074602,1655,11,45,126,18,40
06059074701,1336,0,75,191,19,69
06059074702,1215,16,30,233,17,34
06059074801,1026,15,20,134,17,21
06059074802,1139,7,45,168,14,51
06059074803,1788,19,32,143,22,24
06059074805,960,10,61,107,14,32
