GEOID,B25044_E001,B25044_E003,B25044_E010,B25044_M001,B25044_M003,B25044_M010
06059074806,976,10,24,143,10,24
06059074901,1831,0,135,163,19,74
06059074902,1302,9,18,175,18,28
06059075002,2054,0,485,211,19,144
06059075003,1661,0,154,175,19,94
06059075004,1237,0,136,99,13,64
06059075100,1912,15,167,158,14,80
06059075201,1147,88,16,137,96,25
06059075202,1277,13,0,319,22,19
06059075301,1523,0,60,120,19,35
06059075302,1060,9,25,90,14,25
06059075303,1173,0,39,131,13,27
06059075401,1538,0,254,283,13,194
06059075403,2685,33,71,255,39,79
06059075404,2218,0,57,388,19,77
06059075405,885,33,35,68,23,31
06059075504,1526,11,30,196,14,24
06059075505,1360,0,173,163,13,76
06059075506,1171,119,15,167,134,17
06059075507,1899,0,91,183,19,53
06059075512,1105,0,46,196,13,39
06059075513,1443,14,8,146,22,12
06059075514,1066,14,34,119,25,34
06059075516,4601,0,343,630,19,198
06059075517,1610,0,144,285,19,151
06059075518,3602,57,0,536,95,21
06059075603,1437,8,11,225,14,19
06059075604,2595,13,83,230,20,61
06059075605,2080,0,0,407,19,19
06059075606,2111,76,0,208,113,19
06059075607,2914,34,47,349,43,46
06059075701,2168,40,22,301,48,35
06059075702,1138,9,15,107,14,18
06059075703,1382,37,0,148,46,13
06059075805,1221,11,46,114,12,50
06059075806,1972,12,98,194,18,98
06059075807,1161,0,8,152,13,13
06059075808,1060,11,0,96,17,13
06059075809,1076,8,0,84,12,13
06059075810,982,6,0,172,11,13
06059075811,849,11,8,77,17,10
06059075812,1884,18,7,168,19,11
06059075813,1620,20,0,117,22,13
06059075814,1095,10,5,90,15,8
06059075815,1627,0,17,161,19,20
06059075816,1091,0,29,70,13,29
06059075901,1561,0,50,194,13,36
06059075902,2767,37,245,280,30,139
06059076001,2665,24,20,296,33,24
06059076002,668,0,166,152,13,104
06059076102,1815,0,157,179,19,64
06059076103,2628,31,39,310,51,42
06059076104,2336,12,0,207,19,19
06059076105,1326,23,60,261,40,48
06059076201,2639,0,42,326,19,51
06059076202,1870,47,15,158,31,23
06059076204,1007,0,0,103,13,13
06059076205,1512,0,0,163,19,19
06059076206,1789,23,10,243,26,16
06059076208,1854,0,69,225,19,73
06059086301,1846,26,11,171,31,15
06059086303,3207,69,33,400,105,37
06059086304,1626,27,72,163,24,41
06059086305,1154,23,0,182,22,13
06059086306,1201,27,44,105,23,51
06059086402,1512,31,0,238,24,19
06059086404,1447,33,64,122,41,52
06059086405,1633,0,35,105,19,35
06059086406,1198,13,44,117,20,62
06059086407,2041,13,81,224,20,105
06059086501,1309,8,8,225,12,13
06059086502,1404,22,53,162,26,48
06059086601,2270,16,252,221,27,180
06059086602,1857,37,69,222,25,45
06059086701,2272,11,87,188,18,69
06059086702,2211,0,158,314,19,98
06059086801,1000,0,9,92,13,15
06059086802,1523,0,70,222,19,57
06059086803,2598,13,170,249,22,87
06059086901,2684,0,267,321,19,127
06059086902,1760,13,283,221,15,140
06059086903,1945,34,83,156,33,64
06059087001,1532,11,82,194,15,52
06059087002,2253,17,168,214,27,125
06059087101,1653,0,101,142,19,63
06059087102,1854,0,113,210,19,72
06059087103,2372,15,20,263,26,30
06059087105,1709,5,181,403,10,132
06059087106,1565,25,243,266,25,119
06059087200,2751,64,188,368,55,111
06059087301,1251,0,0,167,13,13
06059087302,2178,13,180,254,21,107
06059087401,1725,31,0,208,35,19
06059087403,677,0,31,67,13,26
06059087404,981,6,26,138,9,25
06059087405,1243,0,58,95,13,45
06059087503,1785,13,26,251,15,33
06059087504,1702,6,59,186,9,47
06059087505,1312,0,87,160,13,75
06059087601,1368,8,110,146,13,89
06059087602,2099,25,18,225,28,30
06059087701,1556,43,128,119,50,76
06059087703,1670,0,25,353,19,30
06059087704,1240,9,56,129,14,50
06059087801,1537,77,42,123,55,39
06059087802,2610,38,34,284,48,58
06059087803,1488,0,68,178,19,47
06059087805,1755,0,258,123,19,109
06059087806,1606,11,98,157,18,62
06059087901,1306,28,108,236,28,60
06059087902,1275,6,85,155,10,51
06059088001,1180,10,45,86,15,50
06059088002,1244,37,10,167,37,19
06059088101,620,10,5,73,16,12
06059088104,1600,31,130,201,36,85
06059088105,1129,51,37,173,52,50
06059088106,1787,39,40,195,37,42
06059088107,1719,49,92,158,36,49
06059088201,1003,33,34,67,38,44
06059088202,1017,9,3,143,10,5
06059088203,1551,9,166,188,15,153
06059088301,1593,0,60,129,19,49
06059088302,1802,11,0,186,18,19
06059088401,1400,11,0,227,17,19
06059088402,1222,35,78,131,36,70
06059088403,1779,10,54,179,15,62
06059088501,1885,0,77,196,19,54
06059088502,1361,18,133,125,18,88
06059088601,2328,17,121,263,24,97
06059088602,1294,9,41,144,15,41
06059088701,2076,22,147,250,25,71
06059088702,1519,45,82,122,31,51
06059088801,2567,37,140,193,42,99
06059088802,1466,0,80,142,19,40
06059088901,1849,46,136,210,38,99
06059088902,1220,0,19,141,19,25
06059088903,2056,30,119,157,30,97
06059088904,1367,22,23,93,21,35
06059088905,1302,60,62,130,49,52
06059089001,1607,30,8,200,29,12
06059089003,1063,14,20,139,17,28
06059089004,1956,17,12,335,18,18
06059089102,1705,26,0,192,26,19
06059089104,1341,4,178,101,8,84
06059089105,1160,10,65,107,16,86
06059089106,1000,5,45,83,8,44
06059089107,1374,35,0,208,23,19
06059099202,1834,36,42,107,33,45
06059099203,1457,21,55,195,19,63
06059099204,1541,52,55,197,39,42
06059099212,1709,0,7,226,19,12
06059099214,1254,19,5,120,24,8
06059099215,2107,35,10,297,41,15
06059099216,1553,0,10,172,13,16
06059099217,872,0,6,130,13,8
06059099220,2457,0,0,308,19,19
06059099222,1597,59,58,153,36,55
06059099223,1752,66,154,184,53,87
06059099224,992,59,31,81,53,51
06059099225,1191,0,0,283,13,13
06059099226,1234,20,23,321,24,34
06059099227,1882,31,23,190,26,34
06059099229,2319,14,115,189,23,87
06059099230,1486,12,0,158,15,13
06059099231,1701,9,0,138,15,19
06059099232,1947,8,26,184,13,42
06059099233,964,18,22,67,22,25
06059099234,1182,48,19,146,31,21
06059099235,2422,61,82,350,77,47
06059099237,1078,27,0,104,25,13
06059099238,1293,30,0,124,35,13
06059099239,1228,0,0,119,13,13
06059099240,2093,48,0,278,41,19
06059099241,1585,3,41,248,7,41
06059099242,1181,6,14,223,11,16
06059099243,1835,81,0,196,65,13
06059099244,1762,25,15,172,25,17
06059099245,970,27,0,66,33,13
06059099246,1116,80,24,77,71,17
06059099247,772,12,27,89,13,24
06059099248,1439,40,34,162,36,26
06059099249,809,4,51,67,6,36
06059099250,1153,21,45,214,35,44
06059099251,2136,0,225,242,19,141
06059099305,3065,20,19,305,33,23
06059099306,2900,0,17,401,19,29
06059099307,1172,28,20,131,33,19
06059099308,2090,0,0,308,19,19
06059099309,2064,42,155,307,33,91
06059099310,1935,0,43,198,13,46
06059099311,1673,52,13,182,53,21
06059099402,2026,12,56,207,21,52
06059099404,1515,7,9,114,12,14
06059099405,1683,0,0,158,13,13
06059099406,1612,17,30,164,19,37
06059099407,885,17,64,73,23,46
06059099408,1563,0,0,141,13,13
06059099410,1768,0,115,310,13,78
06059099411,1900,0,44,168,19,30
06059099412,1855,8,23,207,12,27
06059099415,1890,24,0,152,27,13
06059099416,2399,0,199,259,19,126
06059099417,2212,0,18,341,19,21
06059099418,1904,0,481,230,13,214
06059099419,1542,6,50,233,11,59
06059099502,213,0,4,40,13,6
06059099504,1215,23,0,194,21,13
06059099506,524,0,10,88,13,17
06059099508,2092,119,113,262,75,89
06059099509,2177,326,17,188,146,26
06059099510,3392,460,18,322,137,20
06059099511,1709,16,58,206,18,48
06059099512,1469,0,36,166,13,50
06059099513,986,0,0,89,13,13
06059099514,2411,0,0,334,19,19
06059099601,2200,77,55,230,48,42
06059099602,1028,0,61,69,13,68
06059099603,2115,17,0,144,25,19
06059099604,1300,12,5,200,19,8
06059099605,2279,41,35,311,45,30
06059099701,1909,43,167,278,37,159
06059099702,2465,20,369,283,30,156
06059099703,1966,15,151,111,23,74
06059099801,1792,0,72,245,19,79
06059099802,1694,48,243,130,51,85
06059099803,1664,46,139,139,44,66
06059099902,1339,38,21,169,39,33
06059099903,1433,32,31,197,34,38
06059099904,2013,19,157,220,21,75
06059099905,1117,11,0,160,18,13
06059099906,1679,49,21,155,45,24
06059110001,1523,18,38,171,19,45
06059110003,1034,16,79,107,19,53
06059110004,1647,15,0,148,17,13
06059110005,1131,12,0,106,17,13
06059110006,1151,0,0,150,13,13
06059110007,1774,7,0,180,10,19
06059110008,1789,18,24,256,20,27
06059110010,1335,8,0,98,12,13
06059110011,1023,7,0,122,11,13
06059110012,1997,20,126,217,20,69
06059110014,1714,0,98,194,13,60
06059110015,1270,36,11,135,31,17
06059110102,1939,87,0,251,58,19
06059110104,1998,0,209,285,19,171
06059110106,1215,0,0,154,13,13
06059110108,1069,0,20,105,13,26
06059110109,1900,42,68,186,38,50
06059110110,1662,9,16,123,14,18
06059110111,1816,42,0,178,52,19
06059110113,720,0,51,76,13,40
06059110114,1452,36,0,150,35,19
06059110115,1164,12,73,148,19,112
06059110116,1451,5,136,158,8,129
06059110117,2096,0,98,176,19,106
06059110118,769,6,0,105,9,13
06059110201,2530,29,110,201,35,65
06059110202,2506,0,178,279,19,92
06059110203,1857,0,30,186,19,36
06059110301,2173,0,21,314,19,26
06059110302,1621,51,0,220,52,19
06059110303,1580,35,39,238,43,45
06059110304,1195,41,0,88,47,13
06059110401,1432,9,0,151,13,13
06059110402,1429,34,48,159,27,31
06059110500,2352,0,190,201,19,111
06059110603,2321,0,56,329,19,70
06059110604,2746,20,175,240,33,201
06059110605,2089,0,15,164,19,25
06059110606,1285,0,85,95,13,58
06059110607,1339,0,39,144,13,45
06059980000,0,0,0,13,13,13
06059990100,0,0,0,13,13,13
