GEOID,B01003_E001,B01003_M001
06059074902,6221,414
06059075002,8236,890
06059075003,7500,421
06059075004,5267,486
06059075100,9934,644
06059075201,6089,483
06059075202,5592,521
06059075301,5751,493
06059075302,5137,358
06059075303,3372,320
06059075401,4258,354
06059075403,8105,713
06059075404,7202,625
06059075405,3448,229
06059075504,3857,293
06059075505,3355,252
06059075506,3636,289
06059075507,5257,485
06059075512,3866,381
06059075513,5200,388
06059075514,4192,319
06059075515,21127,1767
06059075603,4120,308
06059075604,7867,350
06059075605,6113,358
06059075606,5911,632
06059075607,6381,613
06059075701,7155,913
06059075702,3809,223
06059075703,4508,450
06059075805,4147,449
06059075806,6273,592
06059075807,4163,355
06059075808,3300,257
06059075809,2822,176
06059075810,3028,159
06059075811,3344,239
06059075812,6477,409
06059075813,5060,320
06059075814,2915,240
06059075815,5545,481
06059075816,3630,269
06059075901,4011,408
06059075902,7308,572
06059076000,9150,846
06059076101,9594,676
06059076102,8492,548
06059076103,9563,912
06059076201,7619,453
06059076202,6159,455
06059076204,4639,319
06059076205,7424,545
06059076206,4692,291
06059076208,5412,318
06059086301,7075,576
06059086303,7535,642
06059086304,4864,411
06059086305,4266,389
06059086306,4773,866
06059086402,6071,424
06059086404,6350,605
06059086405,7658,480
06059086406,4189,386
06059086407,6379,753
06059086501,4254,569
06059086502,6318,451
06059086601,9185,668
06059086602,6447,334
06059086701,9054,744
06059086702,8069,521
06059086801,3878,408
06059086802,5874,422
06059086803,8751,585
06059086901,8270,589
06059086902,5624,451
06059086903,7128,503
06059087001,5272,441
06059087002,7887,696
06059087101,4741,472
06059087102,7084,409
06059087103,8986,641
06059087105,4614,399
06059087106,4819,515
06059087200,7725,591
06059087300,10714,956
06059087401,4946,322
06059087403,3701,354
06059087404,3891,335
06059087405,5627,562
06059087503,6011,464
06059087504,7286,581
06059087505,4913,430
06059087601,5348,428
06059087602,8007,721
06059087701,5901,487
06059087703,6222,529
06059087704,5411,305
06059087801,5195,434
06059087802,7163,662
06059087803,5902,465
06059087805,7494,564
06059087806,6654,573
06059087901,4030,485
06059087902,5408,604
06059088001,4527,430
06059088002,4157,295
06059088101,2285,221
06059088104,4743,299
06059088105,4793,453
06059088106,5008,337
06059088107,5977,491
06059088201,4082,408
06059088202,3286,238
06059088203,5530,413
06059088301,6566,495
06059088302,6040,343
06059088401,5393,381
06059088402,4700,407
06059088403,6923,622
06059088501,6883,464
06059088502,5598,468
06059088601,6742,537
06059088602,4488,356
06059088701,5935,368
06059088702,6243,474
06059088801,7689,468
06059088802,4984,340
06059088901,7018,424
06059088902,5019,372
06059088903,8826,550
06059088904,5684,491
06059088905,4657,459
06059089001,7077,638
06059089003,3856,276
06059089004,6883,637
06059089102,6686,407
06059089104,6434,510
06059089105,6889,544
06059089106,4226,240
06059089107,5664,474
06059099202,8826,522
06059099203,6215,560
06059099204,4582,283
06059099212,5524,442
06059099214,3825,263
06059099215,5074,482
06059099216,4658,337
06059099217,2454,132
06059099220,5770,606
06059099222,5346,446
06059099223,5095,449
06059099224,3448,272
06059099225,3554,334
06059099226,3772,312
06059099227,5806,380
06059099229,6176,429
06059099230,4717,287
06059099231,5431,303
06059099232,5557,308
06059099233,3074,218
06059099234,3499,241
06059099235,5123,352
06059099237,3198,263
06059099238,3974,297
06059099239,3824,269
06059099240,5275,367
06059099241,4202,341
06059099242,3647,239
06059099243,4034,344
06059099244,3528,220
06059099245,2948,194
06059099246,3476,251
06059099247,3330,198
06059099248,5636,540
06059099249,4356,282
06059099250,3046,194
06059099251,5767,467
06059099305,7490,450
06059099306,5909,431
06059099307,2557,238
06059099308,5996,378
06059099309,5072,308
06059099310,4057,380
06059099311,3425,308
06059099402,8190,805
06059099404,4420,221
06059099405,4335,385
06059099406,4779,298
06059099407,2380,127
06059099408,4594,239
06059099410,4903,459
06059099411,5851,458
06059099412,4875,371
06059099413,8633,620
06059099415,5338,228
06059099416,5536,296
06059099417,4845,412
06059099502,621,135
06059099504,2679,190
06059099506,919,141
06059099508,5116,482
06059099509,3352,287
06059099510,4449,223
06059099511,3023,205
06059099512,2959,246
06059099513,2106,282
06059099514,4897,425
06059099601,7230,470
06059099602,3275,299
06059099603,7113,582
06059099604,3874,252
06059099605,4951,323
06059099701,6441,613
06059099702,7897,658
06059099703,6157,401
06059099801,5742,397
06059099802,5472,361
06059099803,5697,493
06059099902,4299,351
06059099903,5764,528
06059099904,6116,527
06059099905,4265,468
06059099906,5270,293
06059110001,4691,338
06059110003,3141,163
06059110004,4953,335
06059110005,2981,196
06059110006,3248,241
06059110007,5148,256
06059110008,4486,258
06059110010,4801,276
06059110011,2799,214
06059110012,5131,221
06059110014,5274,285
06059110015,3354,204
06059110102,5785,345
06059110104,5631,368
06059110106,3670,197
06059110108,2677,230
06059110109,5410,319
06059110110,5809,373
06059110111,6189,385
06059110113,2110,194
06059110114,4827,339
06059110115,3993,366
06059110116,4698,264
06059110117,6393,371
06059110118,2355,121
06059110201,8236,599
06059110202,8018,948
06059110203,5512,335
06059110301,6980,456
06059110302,5975,354
06059110303,4661,579
06059110304,4966,320
06059110401,4906,377
06059110402,5588,406
06059110500,8677,691
06059110603,8669,635
06059110604,7704,451
06059110605,6740,540
06059110606,4541,415
06059110607,4254,360
06059980000,33,12
06059990100,0,12
