GEOID20,C000,CNS15,CNS16,CNS17,CNS18
060590011011000,1,0,0,0,0
060590011011001,1,0,0,0,0
060590011011002,3,0,0,0,0
060590011011007,5,0,5,0,0
060590011011008,3,0,3,0,0
060590011011009,2,0,2,0,0
060590011011011,20,0,7,0,3
060590011011012,178,0,109,0,12
060590011012000,45,32,1,0,0
060590011012001,2,0,2,0,0
060590011012002,1,0,0,0,0
060590011012005,6,0,0,0,0
060590011012009,33,0,7,0,13
060590011012010,60,2,1,0,9
060590011013000,61,0,3,0,25
060590011013001,438,0,15,0,38
060590011013003,7,0,7,0,0
060590011013007,4,0,4,0,0
060590011014000,64,0,60,0,0
060590011014006,4,0,0,0,0
060590011014007,4,0,0,0,0
060590011014008,1,0,1,0,0
060590011014009,1,0,1,0,0
060590011014010,1,0,0,0,0
060590011014012,41,0,0,0,0
060590011021000,81,0,13,0,24
060590011021001,8,0,3,0,0
060590011021003,25,0,18,0,0
060590011021004,34,0,0,0,10
060590011021005,2,0,0,0,0
060590011021007,2,0,2,0,0
060590011022000,465,100,4,0,0
060590011022001,1,0,1,0,0
060590011022002,2,0,2,0,0
060590011022003,4,0,4,0,0
060590011022007,6,6,0,0,0
060590011022009,19,0,14,0,0
060590011023000,74,4,3,0,17
060590011023007,3,0,0,0,0
060590011023008,5,0,2,0,0
060590011031000,149,7,10,0,0
060590011031001,213,0,0,0,46
060590011031004,2,0,0,0,0
060590011031008,103,44,21,1,28
060590011032000,1,0,0,0,0
060590011032001,1,0,0,0,0
060590011032003,255,21,101,0,0
060590011032005,3,3,0,0,0
060590011032006,3,0,1,0,0
060590011032007,1,0,1,0,0
060590011032009,2,0,2,0,0
060590011032010,2,0,2,0,0
060590011032011,7,0,5,0,0
060590011033000,126,124,0,0,0
060590011033001,184,184,0,0,0
060590011033002,248,0,107,0,40
060590011033004,1,0,1,0,0
060590011033006,8,0,0,0,0
060590011033007,3,0,3,0,0
060590011033008,87,0,42,0,6
060590012011000,17,0,5,0,0
060590012011001,1,0,1,0,0
060590012011005,2,0,2,0,0
060590012011007,2,0,2,0,0
060590012011008,5,0,5,0,0
060590012011009,3,0,3,0,0
060590012011010,1,0,1,0,0
060590012012002,301,293,1,0,0
060590012012003,2,0,2,0,0
060590012012004,1,0,1,0,0
060590012012005,97,0,97,0,0
060590012012006,1,0,0,0,0
060590012012007,12,0,12,0,0
060590012012008,51,0,3,0,0
060590012012009,19,0,10,0,0
060590012012010,13,0,11,0,0
060590012012011,7,0,1,0,0
060590012012012,1,0,1,0,0
060590012012014,1,0,1,0,0
060590012013000,59,0,0,0,3
060590012013001,41,0,12,0,0
060590012013002,4,0,0,0,0
060590012013003,91,26,8,0,0
060590012021000,1,0,1,0,0
060590012021003,6,0,0,0,0
060590012021004,1,0,1,0,0
060590012021005,8,0,3,0,0
060590012021007,1,0,1,0,0
060590012021009,20,0,0,0,7
060590012021010,29,15,3,0,0
060590012021011,31,0,0,0,23
060590012022000,55,0,0,11,38
060590012022001,1,0,1,0,0
060590012022002,2,0,2,0,0
060590012022004,11,0,0,0,0
060590012022005,5,0,0,0,0
060590012022006,1,0,1,0,0
060590012022007,1,0,1,0,0
060590012022008,12,12,0,0,0
060590012022009,389,0,26,52,0
060590012023000,28,0,0,0,19
060590012023001,20,0,0,0,2
060590012023002,625,0,1,0,0
060590012023003,18,0,3,0,2
060590012023004,8,0,8,0,0
060590012023005,7,0,0,0,0
060590012023006,7,0,0,0,0
060590012023007,14,0,5,1,0
060590012023010,1,0,1,0,0
060590012023012,9,0,1,0,0
060590012023013,28,0,1,0,0
060590012023014,23,0,1,0,0
060590013011000,223,6,94,0,0
060590013011001,1,0,1,0,0
060590013011002,1,0,1,0,0
060590013011005,5,0,0,0,0
060590013011008,3,0,0,0,0
060590013011010,16,0,0,0,11
060590013011011,40,0,3,0,0
060590013012001,5,0,2,0,0
060590013012004,2,0,1,0,0
060590013012005,48,47,1,0,0
060590013012008,1,1,0,0,0
060590013012009,54,0,0,0,11
060590013012010,20,0,0,0,20
060590013012013,1,0,0,0,0
060590013012014,17,17,0,0,0
060590013012019,32,0,0,0,2
060590013013000,4,0,3,0,0
060590013013008,25,0,4,0,9
060590013013009,7,0,0,0,7
060590013013011,2,0,0,2,0
060590013014002,66,0,0,0,10
060590013014003,16,0,6,0,0
060590013014004,1,0,0,0,0
060590013014006,2,0,0,0,0
060590013014009,31,0,0,0,0
060590013015001,4,0,3,0,0
060590013015002,3,0,3,0,0
060590013015003,27,0,0,0,3
060590013015004,38,0,7,0,2
060590013015005,492,1,8,32,179
060590013015006,463,0,5,24,242
060590013015007,131,0,0,0,131
060590013031002,23,0,17,0,0
060590013031003,43,0,11,0,25
060590013031004,13,0,4,0,0
060590013031005,7,0,2,0,0
060590013031007,7,0,0,0,0
060590013032000,18,0,3,0,0
060590013032001,8,0,8,0,0
060590013032002,5,0,2,0,0
060590013032005,2,0,2,0,0
060590013033000,1,0,1,0,0
060590013033001,71,71,0,0,0
060590013033004,8,0,2,0,0
060590013033007,140,0,2,0,0
060590013033010,123,0,0,0,0
060590013033011,3,0,3,0,0
060590013033012,5,0,3,0,0
060590013033013,202,0,0,0,0
060590013033014,40,0,0,0,25
060590013033015,98,0,0,22,0
060590013033016,5,0,5,0,0
060590013041000,497,0,1,0,0
060590013041002,111,0,2,0,0
060590013041003,14,0,3,0,0
060590013041004,5,0,5,0,0
060590013041006,2,0,2,0,0
060590013041007,1,0,1,0,0
060590013041008,650,35,0,0,0
060590013041009,80,0,0,0,17
060590013041010,1,0,1,0,0
060590013042006,2,0,0,0,0
060590013042010,16,0,11,0,5
060590013042011,4,0,4,0,0
060590013042012,1,0,0,0,0
060590013042019,8,0,3,0,0
060590013042020,84,0,0,0,0
060590013042022,3,0,0,0,0
060590013042023,8,0,7,0,0
060590014011000,5,0,0,0,0
060590014011001,41,37,0,0,0
060590014011002,78,0,21,0,4
060590014011003,6,0,4,0,0
060590014011004,202,0,8,0,46
060590014011005,36,0,0,0,10
060590014012003,1,0,1,0,0
060590014012005,1,0,0,0,0
060590014012007,75,0,6,0,32
060590014012008,21,10,0,0,0
060590014012009,12,0,1,0,2
060590014013000,133,69,1,0,16
060590014013001,10,4,0,0,0
060590014013003,53,29,0,0,6
060590014013004,64,0,64,0,0
060590014013007,7,0,1,0,4
060590014013008,11,0,0,0,0
060590014014000,362,0,61,0,104
060590014014002,5,0,5,0,0
060590014021000,2,0,0,0,0
060590014021002,7,0,0,0,0
060590014021004,2,0,0,0,0
060590014021005,13,0,0,0,0
060590014021006,6,0,1,0,0
060590014021010,12,0,5,0,0
060590014022000,22,0,2,0,0
060590014022001,3,0,3,0,0
060590014022002,1,0,1,0,0
060590014022005,1,0,1,0,0
060590014022006,2,0,2,0,0
060590014022007,110,0,4,0,68
060590014022008,102,0,5,0,79
060590014023001,3,0,2,0,0
060590014023002,63,46,2,0,0
060590014023005,1,0,1,0,0
060590014023007,1,0,1,0,0
060590014023009,14,0,2,0,8
060590014031007,90,81,7,0,0
060590014031009,2,0,2,0,0
060590014031013,14,0,0,0,0
060590014031014,12,0,11,0,0
060590014032001,1,0,1,0,0
060590014032003,5,0,0,0,0
060590014032004,10,0,1,0,0
060590014032006,2,0,0,0,0
060590014032007,2,0,2,0,0
060590014032009,2,0,2,0,0
060590014032014,7,0,0,0,0
060590014032015,2,0,0,0,0
060590014032019,61,0,8,4,8
060590014032020,1,0,0,0,0
060590014032022,1,0,1,0,0
060590014032023,21,0,0,0,0
060590014041001,6,0,0,0,0
060590014041002,537,187,23,0,0
060590014041003,316,0,5,0,0
060590014041004,11,0,0,0,10
060590014041005,6,0,3,0,0
060590014041006,3,0,3,0,0
060590014041008,7,0,0,0,0
060590014041009,596,8,0,0,0
060590014041010,237,0,17,0,64
060590014041011,640,0,0,0,0
060590014041012,193,0,0,0,0
060590014041013,523,0,8,0,326
060590014041014,1674,8,9,0,28
060590014041018,762,0,17,0,74
060590014041019,183,0,0,0,2
060590014041024,67,4,17,0,30
060590014042000,37,0,6,0,19
060590014042002,5,0,0,0,0
060590014042006,10,0,6,0,0
060590014042007,32,0,6,0,11
060590014042008,2,2,0,0,0
060590014043000,419,0,4,0,54
060590014043001,4,0,0,0,0
060590014043002,48,46,2,0,0
060590014043003,31,0,13,0,0
060590014043004,5,0,0,0,0
060590014043005,98,0,2,0,0
060590014043007,208,0,27,0,0
060590014043008,1088,0,0,0,0
060590014043009,97,0,0,0,20
060590015011000,2,0,2,0,0
060590015011001,81,0,7,0,0
060590015011002,9,0,0,0,0
060590015011003,3,0,0,0,0
060590015011004,6,0,5,0,0
060590015011005,3,0,1,0,0
060590015011010,2,0,2,0,0
060590015011015,292,0,3,0,14
060590015011018,1,0,1,0,0
060590015012000,7,0,7,0,0
060590015012010,8,0,0,0,0
060590015012012,1,0,1,0,0
060590015012015,17,0,3,0,0
060590015012017,9,0,9,0,0
060590015012020,4,0,0,4,0
060590015012022,4,0,0,4,0
060590015012023,4,0,4,0,0
060590015012024,2,0,2,0,0
060590015012026,11,0,3,0,0
060590015012028,6,0,0,0,0
060590015012036,1,0,0,0,0
060590015012044,6,0,0,0,0
060590015012047,674,0,0,0,0
060590015012049,442,0,0,0,0
060590015012050,726,0,0,0,22
060590015012051,285,0,0,0,0
060590015012052,1289,0,764,0,0
060590015012053,8,0,0,0,0
060590015013000,1,0,0,0,1
060590015013002,4,0,0,0,3
060590015013004,14,0,0,0,12
060590015013007,3,0,0,0,0
060590015013008,3,0,0,0,0
060590015013009,3,0,0,0,3
060590015013011,3,0,0,0,0
060590015013016,3,0,0,0,0
