GEOID,B08141_E001,B08141_E002,B08141_E003,B08141_E004,B08141_E005,B08141_E016,B08141_E017,B08141_E018,B08141_E019,B08141_E020,B08141_M001,B08141_M002,B08141_M003,B08141_M004,B08141_M005,B08141_M016,B08141_M017,B08141_M018,B08141_M019,B08141_M020
06059001101,2200,35,158,677,1330,22,8,0,8,6,362,41,113,182,384,22,14,19,13,10
06059001102,2146,35,213,775,1123,3,0,0,0,3,357,42,138,288,247,7,13,13,13,7
06059001103,2424,127,325,1040,932,123,86,11,26,0,360,114,201,281,357,113,103,16,44,13
06059001201,2908,155,262,952,1539,63,0,0,40,23,450,137,141,272,454,58,19,19,46,36
06059001202,1818,66,181,639,932,85,0,32,6,47,193,63,109,168,187,60,13,36,8,47
06059001301,3674,120,407,1533,1614,0,0,0,0,0,485,149,144,357,432,19,19,19,19,19
06059001303,3423,60,279,1801,1283,49,0,0,28,21,639,53,117,618,325,51,19,19,39,32
06059001304,1679,158,254,475,792,0,0,0,0,0,271,195,136,193,205,13,13,13,13,13
06059001401,2026,20,253,921,832,102,0,13,83,6,298,32,115,296,216,113,13,19,111,11
06059001402,2358,0,334,1109,915,39,0,0,39,0,307,13,137,300,240,45,13,13,45,13
06059001403,2303,0,137,438,1728,71,0,0,71,0,903,13,107,171,914,110,13,13,110,13
06059001404,2008,24,107,693,1184,76,24,0,48,4,362,36,58,220,339,73,36,13,70,8
06059001501,2670,0,230,1121,1319,0,0,0,0,0,303,19,103,280,326,19,19,19,19,19
06059001503,2419,27,224,1375,793,0,0,0,0,0,355,44,132,351,321,19,19,19,19,19
06059001504,2452,27,555,634,1236,45,27,0,14,4,321,42,158,178,307,47,42,13,17,25
06059001505,3352,44,269,1423,1616,41,0,33,8,0,374,72,140,338,467,57,19,51,19,19
06059001506,1995,42,142,676,1135,12,0,0,12,0,260,57,77,159,327,19,13,13,19,13
06059001507,3143,43,632,1559,909,0,0,0,0,0,348,49,159,370,293,19,19,19,19,19
06059001602,1995,8,193,841,953,52,0,4,29,19,216,12,63,159,224,34,13,6,33,22
06059001603,1371,0,250,742,379,12,0,0,12,0,277,13,172,270,192,21,13,13,21,13
06059001604,1980,0,19,1140,821,17,0,0,17,0,422,13,32,442,197,30,13,13,30,13
06059001704,3787,15,455,1735,1582,115,0,26,79,10,491,25,165,401,389,81,19,40,81,17
06059001705,2169,168,354,753,894,30,0,0,30,0,275,186,115,192,243,33,13,13,33,13
06059001706,1676,0,68,516,1092,0,0,0,0,0,234,13,47,192,271,13,13,13,13,13
06059001708,1546,6,147,489,904,30,0,11,19,0,228,12,116,135,277,40,13,21,31,13
06059001709,1371,98,0,406,867,0,0,0,0,0,241,106,13,182,241,13,13,13,13,13
06059001710,2508,18,115,1025,1350,12,0,0,12,0,442,31,69,417,344,25,13,13,25,13
06059001801,2836,75,386,1008,1367,136,0,79,57,0,384,78,177,316,497,116,19,100,62,19
06059001802,3652,79,701,1181,1691,40,0,0,40,0,557,71,378,411,534,63,19,19,63,19
06059001901,1551,0,128,458,965,34,0,10,24,0,294,13,61,110,294,25,13,15,22,13
06059001902,1376,32,58,551,735,11,0,0,0,11,199,36,34,162,177,14,13,13,13,14
06059001903,1476,23,74,467,912,10,0,4,0,6,149,22,48,151,173,13,13,7,13,10
06059011000,3144,121,451,1365,1207,238,0,44,46,148,550,164,220,357,428,233,19,69,43,220
06059011101,2180,33,175,772,1200,16,0,0,16,0,405,39,77,224,412,19,13,13,19,13
06059011102,1956,12,117,433,1394,21,12,0,0,9,312,19,67,153,358,25,19,13,13,15
06059011200,2097,29,365,772,931,65,29,0,17,19,245,43,110,198,263,56,43,13,19,27
06059011300,2473,48,399,1346,680,46,39,0,0,7,362,39,162,340,251,41,38,19,19,15
06059011401,981,0,108,509,364,25,0,0,25,0,173,13,61,133,148,26,13,13,26,13
06059011402,1565,24,94,569,878,45,0,15,23,7,234,36,49,118,250,31,13,19,23,11
06059011403,3129,107,347,1260,1415,41,0,0,21,20,304,101,143,253,330,34,19,19,23,23
06059011502,2258,28,369,802,1059,25,7,12,6,0,331,35,166,173,319,25,12,18,11,19
06059011503,719,26,30,282,381,22,12,6,4,0,103,29,20,83,106,22,19,9,7,13
06059011504,2019,89,654,736,540,30,0,8,0,22,359,77,207,237,312,40,13,14,13,37
06059011601,3127,182,732,1059,1154,284,105,92,56,31,406,195,275,339,430,234,179,142,65,38
