GEOID,B25044_E001,B25044_E003,B25044_E010,B25044_M001,B25044_M003,B25044_M010
06059001101,1460,0,9,39,17,14
06059001102,1060,9,29,37,14,26
06059001103,1369,0,23,60,12,24
06059001201,1427,27,49,47,26,45
06059001202,901,16,29,39,17,27
06059001301,2618,49,0,78,45,17
06059001303,1774,30,19,73,27,20
06059001304,1098,53,34,62,33,42
06059001401,1394,7,113,106,12,72
06059001402,1484,13,29,55,20,24
06059001403,964,8,0,65,14,12
06059001404,955,0,0,55,12,12
06059001501,2333,78,0,83,81,17
06059001503,1676,64,40,94,48,35
06059001504,1704,9,85,95,13,69
06059001505,2384,0,17,98,17,28
06059001506,1614,26,157,72,30,63
06059001507,1943,37,57,88,42,52
06059001601,2699,63,131,150,51,91
06059001602,1768,34,30,67,28,36
06059001704,2511,63,0,105,47,17
06059001705,1269,44,22,65,35,20
06059001706,1279,0,69,85,12,42
06059001707,2509,31,29,51,51,36
06059001708,1226,10,18,54,14,29
06059001801,1550,0,105,61,17,84
06059001802,2151,29,189,98,33,104
06059001901,802,28,19,22,28,18
06059001902,774,17,6,34,19,9
06059001903,911,11,19,46,13,19
06059011000,2445,77,18,116,62,26
06059011101,1312,31,0,79,37,12
06059011102,1208,10,35,65,16,32
06059011200,1638,42,151,65,29,68
06059011300,2137,6,175,163,10,67
06059011401,734,0,0,43,12,12
06059011402,816,9,5,38,10,7
06059011403,1936,19,126,94,20,72
06059011502,1440,23,66,57,24,42
06059011503,540,32,0,38,29,12
06059011504,2016,16,224,135,24,110
06059011601,2302,15,231,99,24,142
06059011602,1449,28,17,53,35,21
06059011707,2373,38,22,112,39,35
06059011708,1648,0,64,120,12,50
06059011709,1426,17,0,47,19,12
06059011710,1175,21,36,69,24,44
06059011711,2644,0,116,118,17,80
06059011712,1588,14,22,39,21,30
06059011714,394,0,0,25,12,12
06059011715,2464,14,62,79,23,42
06059011716,1624,9,0,57,18,17
06059011717,903,12,22,54,12,26
06059011718,1070,26,0,41,24,12
06059011720,1505,26,97,62,29,71
06059011721,1473,14,21,85,15,24
06059011722,1054,57,33,55,51,43
06059021802,2577,15,162,118,25,87
06059021807,1362,0,0,24,12,12
06059021809,1079,15,39,39,18,23
06059021810,1167,0,6,42,12,9
06059021812,2106,0,22,94,17,34
06059021813,4,0,0,6,12,12
06059021814,2602,40,0,133,61,17
06059021815,3873,100,31,186,70,37
06059021816,1724,23,0,65,22,12
06059021817,1272,7,0,43,11,12
06059021820,1407,0,0,41,12,12
06059021821,2578,24,13,99,32,21
06059021822,3002,109,0,134,63,17
06059021823,1316,0,0,29,12,12
06059021824,850,7,0,34,12,12
06059021825,1067,8,24,66,13,27
06059021826,1070,7,11,58,13,17
06059021827,988,14,0,71,16,12
06059021828,1324,31,0,29,30,12
06059021829,1742,0,0,66,17,17
06059021830,2036,0,0,52,17,17
06059021903,1190,15,0,52,18,12
06059021905,1757,14,29,39,15,21
06059021912,1487,0,0,34,12,12
06059021913,1903,10,26,68,16,40
06059021914,1373,43,16,63,35,25
06059021915,1402,11,0,61,18,12
06059021916,1304,9,124,86,14,61
06059021917,1103,11,0,96,16,12
06059021918,1679,16,9,85,19,14
06059021919,982,0,0,25,12,12
06059021920,2564,20,0,44,32,17
06059021921,1455,0,0,33,12,12
06059021922,2250,12,139,86,20,101
06059021923,2401,0,0,39,17,17
06059021924,1443,21,0,49,22,12
06059032002,2062,34,0,69,40,17
06059032003,1547,41,0,64,50,12
06059032011,663,0,0,76,12,12
06059032012,1286,0,0,50,12,12
06059032013,2192,32,178,190,38,100
06059032014,2087,78,123,103,62,51
06059032015,1906,45,8,83,48,14
