GEOID,B25044_E001,B25044_E003,B25044_E010,B25044_M001,B25044_M003,B25044_M010
06059001101,1434,0,20,135,14,23
06059001102,1140,49,29,138,45,43
06059001103,1550,9,135,226,15,115
06059001201,1424,6,81,137,10,60
06059001202,1090,0,132,145,14,75
06059001301,2855,122,99,250,113,142
06059001303,2176,52,99,329,56,59
06059001304,1070,38,43,107,36,57
06059001401,1609,37,56,117,45,49
06059001402,1516,0,60,143,14,48
06059001403,1247,0,0,263,14,14
06059001404,1041,10,45,118,17,47
06059001501,2124,46,0,131,71,19
06059001503,1773,9,49,176,14,55
06059001504,1922,12,47,199,19,30
06059001505,2417,10,58,292,17,89
06059001506,1581,8,170,143,13,93
06059001507,2292,38,202,225,41,214
06059001602,1786,0,0,136,14,14
06059001603,1566,74,18,221,60,24
06059001604,1444,12,21,218,20,32
06059001704,2472,89,79,233,89,79
06059001705,1422,80,0,128,98,14
06059001706,1373,0,69,130,14,38
06059001708,1401,23,9,239,23,14
06059001709,899,41,0,136,39,14
06059001710,1613,18,9,185,19,15
06059001801,1615,0,42,343,19,42
06059001802,2311,0,127,327,19,181
06059001901,842,3,9,107,5,12
06059001902,783,0,7,132,14,12
06059001903,888,11,14,68,12,15
06059011000,2459,15,254,336,24,164
06059011101,1352,22,27,163,35,27
06059011102,1190,0,13,109,14,19
06059011200,1737,68,88,120,61,54
06059011300,2226,30,172,202,38,93
06059011401,718,4,0,75,6,14
06059011402,958,11,40,125,12,56
06059011403,1853,20,140,181,31,99
06059011502,1596,49,69,218,54,64
06059011503,557,24,0,109,20,14
06059011504,2054,47,118,173,75,92
06059011601,2190,0,183,230,19,113
06059011602,1783,7,46,287,12,56
06059011707,2546,8,75,283,12,73
06059011708,1816,0,70,147,19,50
06059011709,1326,0,0,137,14,14
06059011710,1190,0,28,178,14,40
06059011711,2510,0,186,196,19,115
06059011712,1558,9,0,114,15,14
06059011714,360,0,4,55,14,7
06059011715,2499,25,73,277,28,44
06059011716,1593,0,24,180,19,27
06059011717,879,9,16,79,10,21
06059011718,984,29,18,53,32,29
06059011720,1564,0,130,223,19,144
06059011721,1508,0,76,141,19,58
06059011722,1197,66,57,166,65,69
06059021802,2877,59,104,257,57,90
06059021807,1371,27,20,128,37,23
06059021809,1037,27,23,78,36,25
06059021810,1241,19,0,147,22,14
06059021812,2059,18,0,260,30,19
06059021813,21,0,0,19,14,14
06059021814,2832,25,33,257,31,38
06059021816,1930,8,6,263,14,10
06059021817,1187,6,0,98,10,14
06059021820,1550,5,0,181,8,14
06059021821,2576,49,0,274,59,19
06059021822,3046,0,0,292,19,19
06059021823,1214,44,0,181,42,14
06059021824,834,0,0,86,14,14
06059021825,1098,0,42,167,14,47
06059021826,1018,0,11,107,14,19
06059021827,989,7,0,81,12,14
06059021828,1279,71,29,107,78,39
06059021829,1540,44,0,159,33,14
06059021830,2090,18,0,250,28,19
06059021831,2046,50,10,216,68,16
06059021832,2115,0,0,269,19,19
06059021903,1369,73,0,221,70,14
06059021905,1832,0,64,201,19,50
06059021912,1476,0,0,154,14,14
06059021913,2026,55,6,165,43,10
06059021914,1320,28,9,95,27,15
06059021915,1390,42,0,149,68,14
06059021916,1240,0,135,76,14,60
06059021917,1054,0,7,95,14,13
06059021918,1791,99,0,177,67,14
06059021919,1099,23,0,113,35,14
06059021920,2479,22,13,177,36,20
06059021921,1385,0,7,105,14,12
06059021922,2319,0,166,277,19,98
06059021923,2600,0,0,412,19,19
06059021924,1542,12,0,164,20,14
06059032002,1923,25,17,243,32,26
06059032003,1481,8,0,160,13,14
06059032011,631,0,9,69,14,12
06059032012,1180,6,14,96,9,18
06059032013,1982,9,205,294,17,151
06059032014,1971,45,106,211,30,49
06059032015,1949,25,0,192,31,19
06059032020,1897,9,49,174,13,48
06059032022,2159,54,42,195,65,40
06059032027,2060,57,7,159,48,13
06059032028,1534,13,52,157,20,44
06059032029,1386,29,0,127,32,14
06059032030,1225,20,6,98,21,10
06059032031,1164,62,0,120,58,14
06059032032,1027,99,53,117,68,81
06059032033,1571,9,7,230,14,12
06059032034,1704,30,0,111,46,19
06059032035,913,15,0,122,17,14
06059032036,1166,5,11,121,11,17
06059032037,2492,44,0,397,35,19
06059032038,2125,26,0,205,28,19
06059032039,2117,15,26,314,24,43
06059032040,875,0,16,76,14,23
06059032041,351,4,0,63,6,14
06059032042,2021,0,12,235,19,17
06059032043,1115,0,24,79,14,37
06059032044,1978,0,0,225,19,19
06059032045,1108,24,0,164,22,14
06059032046,1924,20,0,192,23,19
06059032047,2134,14,0,308,22,14
06059032048,2010,152,0,180,126,14
06059032049,3275,14,25,306,23,43
06059032050,1701,9,44,155,11,51
06059032051,1930,0,39,229,14,30
06059032053,3131,31,0,361,37,19
06059032054,2282,15,403,343,26,280
06059032055,1353,7,59,161,12,57
06059032057,2368,27,0,245,32,19
06059032058,1981,0,0,184,19,19
06059032059,2679,0,15,207,19,24
06059032061,2190,24,50,231,28,41
06059032062,1233,0,0,121,14,14
06059032063,2450,36,84,221,43,116
06059032064,951,22,0,108,33,14
06059032065,1719,16,0,169,26,19
06059032066,3262,76,19,277,93,31
06059042106,819,0,5,106,14,8
06059042107,1423,20,42,188,23,36
06059042108,2621,62,88,361,53,97
06059042109,1821,12,15,203,19,24
06059042111,2108,0,0,170,19,19
06059042112,2374,17,0,253,28,19
06059042113,1768,29,70,184,32,50
06059042114,1472,9,21,203,15,34
06059042115,488,0,0,67,14,14
06059042116,2659,0,0,400,19,19
06059042201,2321,110,82,248,109,58
06059042203,3704,0,78,325,19,53
06059042205,1923,10,22,223,18,36
06059042206,1646,41,27,271,52,25
06059042305,1571,22,0,154,24,14
06059042307,2203,13,23,218,21,41
06059042311,2531,10,55,264,17,50
06059042312,2248,86,106,269,105,72
06059042313,2689,0,53,252,19,59
06059042315,2406,20,0,243,25,19
06059042317,1349,24,7,177,29,11
06059042319,1191,0,10,136,14,15
06059042320,2781,16,147,302,24,111
06059042323,2120,35,48,268,40,76
06059042324,2022,148,0,248,126,14
06059042325,1749,0,20,264,14,31
06059042326,1678,35,93,165,33,84
06059042327,1701,0,0,174,14,14
06059042328,832,0,0,127,14,14
06059042329,1412,17,16,172,18,24
06059042330,2314,0,25,255,19,29
06059042331,1820,0,0,135,19,19
06059042332,2430,49,16,287,54,26
06059042333,2151,12,9,239,19,14
06059042334,1889,77,111,248,66,132
06059042335,2305,0,12,261,19,20
06059042336,1456,34,25,106,37,23
06059042337,1271,32,0,140,31,14
06059042338,1848,11,0,260,16,19
06059042339,1396,0,0,202,14,14
06059042340,827,10,43,206,16,45
06059042341,2399,0,15,288,19,26
06059052408,1885,29,0,212,34,19
06059052410,1992,126,0,242,117,19
06059052411,1379,13,0,171,22,14
06059052415,1368,0,7,155,14,11
06059052416,1356,7,0,188,12,14
06059052417,2489,48,0,435,39,19
06059052419,1123,39,0,160,27,14
06059052421,3258,77,37,312,78,60
06059052422,4013,51,157,318,65,207
06059052423,2185,0,12,155,19,25
06059052424,1974,40,45,230,30,42
06059052425,2558,35,91,326,41,100
06059052427,1760,0,0,156,19,19
06059052428,2459,0,0,240,19,19
06059052429,3203,14,14,294,24,25
06059052430,5477,0,184,471,21,183
06059052431,1869,17,97,448,32,123
06059052432,2800,16,110,256,24,117
06059052433,5271,92,151,469,94,149
06059052434,2246,0,46,283,19,57
06059052435,1941,0,11,97,19,19
06059052436,1720,0,0,177,19,19
06059052437,1908,57,0,261,69,19
06059052438,2641,55,34,223,50,46
06059052439,3862,38,27,355,32,29
06059052502,1878,0,0,167,19,19
06059052505,1808,60,13,156,37,19
06059052506,865,13,0,121,16,14
06059052511,2556,16,136,459,26,86
06059052513,2082,78,61,184,100,62
06059052514,2010,26,72,241,29,67
06059052518,4266,0,588,308,19,243
06059052519,1506,40,8,145,33,12
06059052520,1282,9,18,150,14,27
06059052521,2358,0,51,268,19,54
06059052522,1356,0,22,105,14,25
06059052523,1517,17,33,99,21,32
06059052524,2697,0,117,217,19,97
06059052526,1206,37,0,147,48,14
06059052527,2598,52,60,264,50,51
06059052528,1392,21,109,279,23,84
06059052529,1023,52,51,233,59,84
06059052530,2154,0,54,322,19,52
06059052531,1434,0,76,259,14,60
06059052532,2500,41,19,246,64,33
06059052533,2537,0,43,283,19,71
06059052534,1192,0,63,277,14,51
06059052535,2208,6,76,465,17,82
06059062605,1822,50,141,189,49,87
06059062610,6888,25,296,651,23,171
06059062611,1716,5,220,139,9,101
06059062614,4296,30,614,436,47,240
06059062619,1625,88,13,210,59,21
06059062620,2347,0,0,307,14,14
06059062622,2923,201,143,325,115,99
06059062625,2163,110,20,268,63,22
06059062626,1061,0,302,167,14,179
06059062627,1607,18,376,265,21,204
06059062628,895,9,17,78,15,21
06059062629,811,11,0,65,12,14
06059062630,673,11,0,62,11,14
06059062631,1149,34,0,98,30,14
06059062632,1723,20,25,202,23,40
06059062633,1887,0,0,189,19,19
06059062634,1863,41,0,152,46,14
06059062635,1773,16,0,209,25,14
06059062636,1480,10,13,174,16,21
06059062637,2627,19,207,320,29,236
06059062638,2284,22,58,176,37,47
06059062639,3064,12,128,293,19,108
06059062640,1530,43,100,139,37,78
06059062641,2042,53,229,202,47,163
06059062642,1383,72,6,224,48,11
06059062643,2468,0,0,194,19,19
06059062645,2460,72,37,255,93,44
06059062646,2413,87,13,293,68,21
06059062647,2550,161,200,297,155,87
06059062648,2045,103,153,220,62,91
06059062649,1866,31,94,184,30,73
06059062650,1574,15,0,165,23,14
06059062651,1186,15,18,193,25,29
06059062652,1945,8,0,237,13,14
06059062653,3644,25,7,377,38,12
06059062654,2898,0,31,488,19,37
06059062655,1633,128,70,129,102,77
06059062656,1688,19,0,261,31,14
06059062657,1718,9,16,461,13,24
06059062658,1992,17,96,164,30,57
06059062701,1317,0,0,160,14,14
06059062702,1811,4,78,282,7,80
06059062800,1829,35,81,365,34,124
06059062900,768,21,0,106,25,14
06059063004,2942,72,152,248,76,124
06059063005,803,8,25,77,8,22
06059063006,1196,46,26,223,42,40
06059063007,2702,15,52,244,26,56
06059063008,1306,41,9,218,41,13
06059063009,644,9,0,82,11,14
06059063010,3126,0,65,335,19,77
06059063101,1216,0,31,168,14,38
06059063102,2623,0,126,203,19,118
06059063103,1233,0,0,214,14,14
06059063201,1509,0,50,177,14,68
06059063202,1516,77,45,169,90,45
06059063301,1533,0,8,206,14,14
06059063302,1578,0,0,133,14,14
06059063400,1984,19,39,187,22,58
06059063500,2711,0,64,466,19,74
06059063601,1658,12,0,246,18,14
06059063603,2848,28,122,331,51,161
06059063604,1618,27,146,164,25,115
06059063605,1805,33,53,222,38,46
06059063701,1827,17,179,243,28,86
06059063702,2154,0,167,193,19,97
06059063802,1084,5,0,163,8,14
06059063803,1589,14,0,179,21,14
06059063805,911,0,26,119,14,32
06059063806,1238,60,0,100,52,14
06059063807,2165,12,203,319,19,121
06059063808,1332,0,84,105,14,65
06059063902,2507,12,69,218,20,52
06059063903,1147,0,9,105,14,14
06059063904,1309,0,4,177,14,9
06059063905,1623,0,41,154,14,24
06059063906,2191,0,86,220,19,92
06059063908,2647,0,52,365,19,60
06059063909,1814,0,101,203,14,87
06059063910,1757,4,26,246,10,41
06059074003,1105,23,74,132,19,57
06059074004,2229,29,46,353,52,36
06059074005,1601,14,93,195,17,90
06059074006,2003,8,91,171,13,60
06059074102,1325,8,36,104,12,46
06059074103,1075,0,0,165,19,19
06059074106,1985,11,8,185,17,12
06059074107,2657,16,209,231,28,181
06059074108,925,42,6,100,35,9
06059074109,630,10,0,66,12,14
06059074110,982,5,11,135,7,18
06059074111,1454,55,0,187,38,19
06059074200,1692,0,52,121,19,52
06059074300,793,6,13,110,10,19
06059074403,1251,0,18,114,19,27
06059074405,1822,5,71,225,10,53
06059074406,934,5,0,104,8,14
06059074407,1844,37,83,203,31,44
06059074408,1436,10,26,149,18,30
06059074501,1465,0,138,195,19,143
06059074502,1196,126,0,205,141,19
06059074601,1849,39,43,295,37,57
06059074602,1710,19,50,134,23,52
