GEOID,B01003_E001,B01003_M001
06059001101,4841,256
06059001102,3330,232
06059001103,4753,392
06059001201,5737,353
06059001202,3777,289
06059001301,6758,390
06059001303,5892,297
06059001304,3827,346
06059001401,4869,395
06059001402,5228,354
06059001403,3195,199
06059001404,4124,385
06059001501,6139,395
06059001503,5726,364
06059001504,4570,340
06059001505,7011,381
06059001506,4260,309
06059001507,4625,343
06059001601,8177,594
06059001602,4929,218
06059001704,7771,522
06059001705,4370,277
06059001706,3799,289
06059001707,7503,605
06059001708,3576,315
06059001801,5232,522
06059001802,8230,814
06059001901,2776,204
06059001902,3029,210
06059001903,3612,258
06059011000,5888,513
06059011101,4504,283
06059011102,4467,345
06059011200,3871,339
06059011300,5035,437
06059011401,1996,177
06059011402,2426,133
06059011403,6722,488
06059011502,3982,321
06059011503,1806,205
06059011504,6148,494
06059011601,7717,650
06059011602,5090,439
06059011707,6441,618
06059011708,4668,481
06059011709,4645,221
06059011710,3644,264
06059011711,8139,642
06059011712,5132,369
06059011714,945,129
06059011715,6240,260
06059011716,5177,272
06059011717,3399,205
06059011718,3177,176
06059011720,6712,484
06059011721,5184,470
06059011722,2403,211
06059021802,7431,472
06059021807,4250,314
06059021809,3143,190
06059021810,4051,287
06059021812,6348,471
06059021813,100,132
06059021814,7349,337
06059021815,8456,327
06059021816,5019,233
06059021817,4185,233
06059021820,4497,280
06059021821,7213,585
06059021822,9706,474
06059021823,3863,234
06059021824,2716,143
06059021825,3171,249
06059021826,2870,295
06059021827,3227,289
06059021828,4327,193
06059021829,5218,332
06059021830,5655,338
06059021903,4107,356
06059021905,5454,256
06059021912,4336,232
06059021913,7706,507
06059021914,4277,489
06059021915,3923,218
06059021916,3386,272
06059021917,3152,263
06059021918,4766,309
06059021919,2856,175
06059021920,6939,338
06059021921,4409,251
06059021922,4904,354
06059021923,6917,394
06059021924,4302,318
06059032002,6788,370
06059032003,4940,323
06059032011,1601,194
06059032012,4213,268
06059032013,5480,475
06059032014,6160,486
06059032015,6758,457
06059032020,5791,355
06059032022,7061,545
06059032023,14434,738
06059032027,6523,412
06059032028,3122,277
06059032029,4488,431
06059032030,3950,200
06059032031,3617,158
06059032032,3020,232
06059032033,3767,290
06059032034,5834,296
06059032035,2356,195
06059032036,3704,229
06059032037,5168,238
06059032038,6482,274
06059032039,7078,542
06059032040,2712,114
06059032041,1034,132
06059032042,5728,291
06059032043,3711,191
06059032044,5700,361
06059032045,3237,165
06059032046,5862,484
06059032047,4365,264
06059032048,5238,405
06059032049,9483,603
06059032050,5007,281
06059032051,4727,506
06059032053,8212,387
06059032054,5726,517
06059032055,3879,408
06059032056,7586,333
06059032057,8752,351
06059032058,8779,402
06059032059,10929,668
06059032061,3816,350
06059042103,7866,765
06059042106,1346,108
06059042107,4492,478
06059042108,4880,555
06059042109,5143,412
06059042111,6352,370
06059042112,6219,489
06059042113,4090,302
06059042114,4232,503
06059042201,5000,712
06059042203,7547,532
06059042205,7065,543
06059042206,3376,235
06059042305,3350,275
06059042307,6813,442
06059042310,8814,757
06059042311,5511,414
06059042312,9900,892
06059042313,7492,452
06059042315,5613,413
06059042317,3321,226
06059042319,3211,203
06059042320,5808,485
06059042323,4805,554
06059042324,4341,524
06059042325,3695,222
06059042326,4967,608
06059042327,4638,361
06059042328,2416,171
06059042329,3986,232
06059042330,6642,546
06059042331,5789,624
06059042332,5232,469
06059042333,3901,308
06059042334,5424,427
06059042335,6619,461
06059042336,4683,290
06059042337,3669,351
06059042338,4817,343
06059042339,3678,288
06059052404,872,278
06059052408,6618,431
06059052410,5348,546
06059052411,5412,317
06059052415,4204,240
06059052416,4385,391
06059052417,10888,598
06059052418,19452,1011
06059052419,3556,189
06059052420,24036,1729
06059052421,5790,358
06059052422,4865,327
06059052423,6224,428
06059052424,5103,421
06059052425,6458,525
06059052426,13582,545
06059052427,5613,265
06059052428,6541,393
06059052502,6091,358
06059052505,5319,447
06059052506,2499,151
06059052511,6025,447
06059052513,5492,470
06059052514,5598,415
06059052515,9667,701
06059052517,12535,980
06059052518,5645,517
06059052519,4418,322
06059052520,3610,241
06059052521,5195,650
06059052522,4220,230
06059052523,4119,312
06059052524,8636,806
06059052525,17051,1114
06059052526,4717,268
06059052527,9224,503
06059052528,4039,341
06059062604,16188,1397
06059062605,2926,234
06059062610,9192,633
06059062611,4643,305
06059062612,8331,547
06059062614,17232,968
06059062619,3959,323
06059062620,5273,492
06059062621,9388,553
06059062622,3889,288
06059062625,4119,378
06059062626,3401,261
06059062627,3731,363
06059062628,3776,284
06059062629,2695,158
06059062630,1856,166
06059062631,3129,212
06059062632,3895,352
06059062633,6762,308
06059062634,5351,360
06059062635,4120,290
06059062636,3981,327
06059062637,4581,290
06059062638,6643,427
06059062639,7879,380
06059062640,3709,265
06059062641,5217,338
06059062642,2600,174
06059062643,7083,597
06059062644,9122,638
06059062645,6778,653
06059062646,3731,262
06059062647,4447,473
06059062648,2677,164
06059062649,3285,172
06059062701,2648,334
06059062702,4767,342
06059062800,4034,511
06059062900,1562,156
06059063004,6378,579
06059063005,1430,163
06059063006,2799,334
06059063007,6439,577
06059063008,806,127
06059063009,1677,111
06059063010,7086,572
06059063101,3077,230
06059063102,6729,364
06059063103,2659,311
06059063201,4059,347
06059063202,3776,301
06059063301,2886,271
06059063302,4232,319
06059063400,4921,388
06059063500,5806,609
06059063601,3655,273
06059063603,6554,591
06059063604,4298,407
06059063605,5445,423
06059063701,5717,395
06059063702,5926,555
06059063802,2984,268
06059063803,4491,351
06059063805,2556,163
06059063806,3764,243
06059063807,5047,444
06059063808,6093,429
06059063902,7090,524
06059063903,4181,361
06059063904,4824,360
06059063905,4561,423
06059063906,6259,537
06059063907,8004,447
06059063908,5450,422
06059074003,4311,403
06059074004,8555,856
06059074005,7955,547
06059074006,5590,416
06059074102,6653,618
06059074103,4923,428
06059074106,6840,466
06059074107,6811,518
06059074108,5002,451
06059074109,3536,293
06059074110,4181,311
06059074111,5449,359
06059074200,9575,577
06059074300,4163,444
06059074403,6023,425
06059074405,6187,405
06059074406,3422,286
06059074407,5642,409
06059074408,6327,577
06059074501,7481,479
06059074502,5631,447
06059074601,7862,684
06059074602,8087,812
06059074701,8599,616
06059074702,6163,541
06059074801,6568,583
06059074802,6810,638
06059074803,8937,591
06059074805,5700,366
06059074806,5299,324
06059074901,9846,665
06059074902,6497,470
06059075002,8022,690
06059075003,7205,448
06059075004,5344,408
06059075100,10050,470
06059075201,6417,565
06059075202,5510,499
06059075301,5994,711
06059075302,4812,444
06059075303,3233,305
06059075401,4107,323
06059075403,7189,588
06059075404,6525,456
06059075405,3180,237
06059075504,4077,255
06059075505,3528,267
06059075506,3605,249
06059075507,5556,381
06059075512,4135,316
