GEOID,B01003_E001,B01003_M001
06059075513,5171,386
06059075514,3858,257
06059075515,18827,1543
06059075603,4030,231
06059075604,8024,562
06059075605,5767,425
06059075606,6547,497
06059075607,6421,522
06059075701,7366,707
06059075702,3479,236
06059075703,4216,227
06059075805,4188,574
06059075806,6569,706
06059075807,3981,302
06059075808,3393,263
06059075809,2866,218
06059075810,3203,254
06059075811,3279,258
06059075812,6390,383
06059075813,4870,281
06059075814,2934,231
06059075815,5325,448
06059075816,3969,279
06059075901,4123,381
06059075902,6820,625
06059076000,9353,570
06059076101,10338,788
06059076102,7949,455
06059076103,9186,857
06059076201,7843,552
06059076202,5974,457
06059076204,4732,462
06059076205,7249,469
06059076206,4875,430
06059076208,5623,351
06059086301,6883,434
06059086303,6990,561
06059086304,4836,277
06059086305,4224,382
06059086306,4786,874
06059086402,5587,424
06059086404,6815,681
06059086405,7568,461
06059086406,4245,298
06059086407,6693,605
06059086501,4421,456
06059086502,6320,528
06059086601,10194,662
06059086602,6505,486
06059086701,9187,674
06059086702,7471,480
06059086801,3590,303
06059086802,5850,330
06059086803,9411,1118
06059086901,8685,543
06059086902,5951,449
06059086903,7366,453
06059087001,5197,505
06059087002,7750,733
06059087101,4743,404
06059087102,6631,405
06059087103,8071,787
06059087105,4280,475
06059087106,5164,442
06059087200,7924,618
06059087300,10296,957
06059087401,5024,372
06059087403,3374,336
06059087404,4332,383
06059087405,6029,558
06059087503,6565,618
06059087504,7407,523
06059087505,4895,336
06059087601,5356,433
06059087602,7668,603
06059087701,5910,420
06059087703,6059,509
06059087704,4951,318
06059087801,5127,362
06059087802,7500,715
06059087803,5501,479
06059087805,6860,571
06059087806,5876,553
06059087901,3960,423
06059087902,5947,499
06059088001,4765,456
06059088002,3814,320
06059088101,2177,183
06059088104,4967,318
06059088105,4693,344
06059088106,5114,386
06059088107,5779,450
06059088201,4466,328
06059088202,3217,241
06059088203,5309,309
06059088301,6918,715
06059088302,6374,359
06059088401,6091,463
06059088402,5103,493
06059088403,7641,580
06059088501,6911,524
06059088502,5222,401
06059088601,6480,413
06059088602,4363,314
06059088701,6191,312
06059088702,6458,445
06059088801,7622,383
06059088802,5374,401
06059088901,7187,509
06059088902,4378,316
06059088903,8926,537
06059088904,5761,444
06059088905,5456,620
06059089001,7696,511
06059089003,3822,317
06059089004,7422,603
06059089102,7021,488
06059089104,6150,529
06059089105,6543,496
06059089106,4388,261
06059089107,5353,394
06059099202,8430,595
06059099203,6416,576
06059099204,4488,352
06059099212,5457,360
06059099214,3568,292
06059099215,5180,391
06059099216,4394,290
06059099217,2448,176
06059099220,5493,556
06059099222,5476,405
06059099223,4750,328
06059099224,3653,257
06059099225,3390,244
06059099226,4383,287
06059099227,5931,455
06059099229,6231,428
06059099230,4718,274
06059099231,5403,285
06059099232,5493,304
06059099233,3310,181
06059099234,3505,200
06059099235,4661,328
06059099237,3648,250
06059099238,4356,327
06059099239,3629,212
06059099240,5165,392
06059099241,4453,397
06059099242,3823,293
06059099243,4273,251
06059099244,3610,213
06059099245,2914,147
06059099246,3477,259
06059099247,3542,235
06059099248,5743,631
06059099249,4690,287
06059099250,2913,207
06059099251,5949,525
06059099305,7620,385
06059099306,6188,623
06059099307,2579,252
06059099308,6139,337
06059099309,5234,348
06059099310,4525,482
06059099311,3346,307
06059099402,8838,856
06059099404,4639,264
06059099405,4389,382
06059099406,4835,282
06059099407,2510,145
06059099408,4603,269
06059099410,5102,360
06059099411,5596,368
06059099412,4811,328
06059099413,8559,511
06059099415,5738,274
06059099416,4775,378
06059099417,4526,295
06059099502,460,106
06059099504,2661,234
06059099506,945,124
06059099508,4860,460
06059099509,3360,269
06059099510,4647,258
06059099511,3226,190
06059099512,3186,250
06059099513,2338,342
06059099514,4809,426
06059099601,7301,400
06059099602,3415,233
06059099603,6790,460
06059099604,4101,264
06059099605,4077,257
06059099701,6181,559
06059099702,8129,698
06059099703,5748,473
06059099801,5855,515
06059099802,5100,369
06059099803,5368,476
06059099902,4442,350
06059099903,6143,569
06059099904,6536,509
06059099905,4325,413
06059099906,5105,423
06059110001,4488,319
06059110003,3240,241
06059110004,5085,290
06059110005,3034,193
06059110006,3144,177
06059110007,4978,183
06059110008,4436,225
06059110010,4910,277
06059110011,2853,218
06059110012,5084,214
06059110014,5188,300
06059110015,3381,309
06059110102,5708,362
06059110104,5714,307
06059110106,3689,263
06059110108,2895,245
06059110109,5556,352
06059110110,5885,325
06059110111,6148,376
06059110113,2181,201
06059110114,4944,262
06059110115,3761,272
06059110116,4748,292
06059110117,6305,394
06059110118,2557,176
06059110201,7845,493
06059110202,7874,1010
06059110203,5049,459
06059110301,7302,407
06059110302,5828,380
06059110303,4589,457
06059110304,4767,278
06059110401,5660,600
06059110402,5590,388
06059110500,8992,637
06059110603,9161,773
06059110604,7578,474
06059110605,6822,499
06059110606,4483,391
06059110607,4415,297
06059980000,27,18
06059990100,0,12
