GEOID20,C000,CNS15,CNS16,CNS17,CNS18
060590014022008,91,0,6,0,65
060590014022010,3,0,3,0,0
060590014023001,5,0,1,0,0
060590014023002,70,55,1,0,0
060590014023005,1,0,1,0,0
060590014023009,28,0,0,0,9
060590014031005,1,0,0,0,0
060590014031007,104,97,4,0,0
060590014031008,1,0,1,0,0
060590014031009,2,0,2,0,0
060590014031013,12,0,0,0,0
060590014031014,18,0,15,0,0
060590014032001,1,0,1,0,0
060590014032003,3,0,0,0,0
060590014032004,10,0,1,0,0
060590014032006,2,0,0,0,0
060590014032007,3,0,3,0,0
060590014032009,1,0,1,0,0
060590014032014,8,0,0,0,0
060590014032019,51,0,2,2,11
060590014032020,1,0,0,0,0
060590014032023,16,0,0,0,0
060590014041001,3,0,0,0,0
060590014041002,474,176,11,0,0
060590014041003,353,0,8,0,0
060590014041004,10,0,0,0,10
060590014041005,9,0,6,0,0
060590014041006,1,0,1,0,0
060590014041008,9,0,1,0,0
060590014041009,614,4,0,0,0
060590014041010,268,0,9,0,86
060590014041011,676,0,2,0,0
060590014041012,107,0,0,0,0
060590014041013,715,0,0,0,541
060590014041014,1489,10,22,0,47
060590014041017,9,0,0,0,0
060590014041018,373,0,55,0,61
060590014041019,214,7,0,0,5
060590014041020,7,0,0,0,0
060590014041024,97,0,17,0,34
060590014041027,4,0,0,0,0
060590014042000,53,0,7,0,22
060590014042002,3,0,0,0,0
060590014042006,9,0,5,0,0
060590014042007,22,0,4,0,5
060590014043000,737,0,6,0,66
060590014043001,17,0,0,0,0
060590014043002,70,67,3,0,0
060590014043003,22,0,1,0,0
060590014043004,13,0,0,0,0
060590014043005,75,0,1,0,0
060590014043007,198,0,29,0,0
060590014043008,1258,0,0,0,0
060590014043009,83,0,0,0,17
060590015011000,1,0,1,0,0
060590015011001,93,0,5,0,0
060590015011002,10,0,0,0,0
060590015011003,5,0,0,0,0
060590015011005,2,0,1,0,0
060590015011010,2,0,2,0,0
060590015011015,297,0,1,0,16
060590015012000,9,0,9,0,0
060590015012001,3,0,0,0,0
060590015012008,5,0,1,0,0
060590015012015,17,0,4,0,0
060590015012017,5,0,5,0,0
060590015012020,4,0,0,4,0
060590015012022,2,0,0,2,0
060590015012023,2,0,2,0,0
060590015012024,3,0,3,0,0
060590015012026,25,0,1,0,0
060590015012028,5,0,0,0,0
060590015012035,1,0,0,0,0
060590015012044,7,0,0,0,0
060590015012047,657,0,0,0,0
060590015012049,501,0,0,0,0
060590015012050,794,0,0,0,24
060590015012051,240,0,0,0,0
060590015012052,881,0,716,0,0
060590015012053,9,0,0,0,0
060590015013000,3,0,0,0,2
060590015013002,2,0,0,0,2
060590015013004,17,0,0,0,14
060590015013005,2,0,2,0,0
060590015013007,3,0,0,0,0
060590015013008,2,0,0,0,0
060590015013009,8,0,0,0,7
060590015013011,16,0,0,0,0
060590015013014,1,0,0,0,0
060590015013016,5,0,0,0,0
060590015013017,2,0,0,0,0
060590015013018,17,0,0,7,0
060590015013019,28,0,0,0,28
060590015031000,99,4,7,0,36
060590015031001,19,0,0,0,0
060590015031002,2,0,0,0,0
060590015031003,14,0,14,0,0
060590015031004,10,0,9,0,0
060590015031006,6,0,0,0,0
060590015032000,29,0,1,0,0
060590015032001,65,11,2,17,0
060590015032002,30,0,0,0,0
060590015032003,12,0,5,0,0
060590015032005,63,0,8,0,13
060590015033001,1,0,1,0,0
060590015033003,2,0,2,0,0
060590015033004,3,0,0,1,0
060590015033009,1,0,0,0,0
060590015033012,6,0,0,0,0
060590015033013,1,0,0,0,0
060590015034000,1679,5,0,0,0
060590015034001,287,2,8,0,0
060590015034002,195,0,5,0,0
060590015034003,1054,0,27,0,0
060590015034008,1,0,0,0,0
060590015034009,10,0,0,0,0
060590015034010,14,8,0,0,2
060590015034011,10,0,0,0,0
060590015034012,1,0,1,0,0
060590015034013,69,61,0,0,0
060590015034014,7,0,7,0,0
060590015035000,8,0,0,0,0
060590015035002,2,0,2,0,0
060590015035004,517,0,4,5,17
060590015035005,103,0,9,0,0
060590015035008,215,0,0,0,178
060590015035009,1653,0,14,24,59
060590015035010,40,0,0,0,0
060590015035011,430,0,40,0,0
060590015035012,592,0,11,0,9
060590015035013,213,3,0,0,100
060590015035014,229,21,2,0,101
060590015035015,55,0,0,0,0
060590015035017,74,7,4,0,50
060590015035018,12,0,0,0,0
060590015035019,1,0,1,0,0
060590015041000,251,0,4,0,0
060590015041002,487,8,36,0,16
060590015041006,2,0,2,0,0
060590015041007,2,0,0,0,0
060590015041009,570,0,6,0,347
060590015041014,3180,113,10,73,694
060590015042000,321,0,2,0,0
060590015042001,311,0,25,0,47
060590015042002,3,0,0,1,0
060590015042003,25,0,0,0,0
060590015042004,13,0,13,0,0
060590015042006,5,0,0,0,0
060590015042007,50,0,11,0,0
060590015042008,33,0,3,0,16
060590015042009,3,0,0,0,0
060590015042010,2,0,0,0,0
060590015042011,9,5,0,4,0
060590015043000,187,0,2,0,170
060590015043002,4,0,3,0,0
060590015043004,3,0,3,0,0
060590015043006,1,0,0,0,0
060590015044002,7,0,2,0,0
060590015044003,99,78,18,0,0
060590015044004,107,0,24,0,75
060590015044005,311,0,0,0,269
060590015044006,13,0,13,0,0
060590015044008,7,0,2,0,0
060590015044009,4197,1,82,0,884
060590015051000,11,0,0,0,0
060590015051002,93,0,0,0,76
060590015051005,29,0,17,0,0
060590015051008,4,0,0,0,1
060590015051011,3,0,3,0,0
060590015052001,253,0,0,0,0
060590015052003,1,0,0,0,0
060590015052005,7,0,0,0,0
060590015052007,15,0,2,0,0
060590015052008,1,0,0,0,0
060590015052009,37,0,0,0,0
060590015052010,23,0,0,0,4
060590015052011,101,3,8,0,35
060590015052013,2,0,0,0,0
060590015052015,4,0,1,0,0
060590015052016,135,0,0,0,108
060590015052017,1,0,0,0,0
060590015052019,4,0,0,0,0
060590015052021,1,0,0,0,0
060590015052022,2,0,0,0,0
060590015052023,1,0,1,0,0
060590015052026,28,0,28,0,0
060590015053000,102,57,2,0,0
060590015053004,16,0,0,0,0
060590015053013,4,0,4,0,0
060590015053015,8,0,0,0,0
060590015053017,6,0,0,0,0
060590015054000,29,0,0,0,0
060590015054006,2,0,0,0,0
060590015054008,1,0,0,1,0
060590015054010,27,0,0,0,0
060590015054011,9,0,1,0,0
060590015054012,8,0,0,0,0
060590015054013,2,0,2,0,0
060590015054015,8,0,2,0,0
060590015054016,11,0,0,1,0
060590015054017,1,0,1,0,0
060590015061000,9,0,0,0,0
060590015061001,12,0,0,0,0
060590015061004,80,0,72,0,0
060590015061005,64,61,0,0,0
060590015061008,3,0,0,0,0
060590015061009,10,0,0,0,0
060590015061011,2,0,0,0,0
060590015061012,99,0,26,0,19
060590015061013,492,0,407,0,0
060590015061015,13,0,1,0,0
060590015061017,2,0,0,0,0
060590015061018,44,0,17,0,0
060590015062002,1,0,0,0,0
060590015062003,17,2,1,0,0
060590015062005,10,0,2,0,0
060590015062007,1,0,0,0,0
060590015062009,4,0,4,0,0
060590015062010,6,0,0,0,0
060590015062011,2,0,0,0,0
060590015062012,3,1,0,0,0
060590015062016,9,0,1,0,0
060590015062017,7,0,0,0,0
060590015062019,2,0,0,0,0
060590015062022,142,45,0,0,0
060590015062023,34,0,0,0,0
060590015071000,68,0,16,0,0
060590015071001,1,0,0,0,0
060590015071002,732,0,265,10,14
060590015071003,249,0,0,0,0
060590015071004,297,0,0,0,0
060590015071005,1882,8,63,2,24
060590015071006,77,0,0,0,0
060590015072003,5,0,0,0,0
060590015072004,4,0,0,0,0
060590015072007,58,0,0,0,15
060590015073000,163,7,11,0,34
060590015073001,2,0,0,0,0
060590015073004,2,0,0,0,0
060590015073012,1707,0,13,0,30
060590015073013,420,0,17,0,0
060590015073014,88,88,0,0,0
060590015073015,19,0,0,0,10
060590015073016,593,0,67,0,0
060590015073017,38,0,0,0,0
060590015073019,3,0,0,0,3
060590015073020,4,0,2,0,0
060590015073023,2,0,0,0,0
060590015073028,47,0,0,0,27
060590016021000,100,0,0,98,0
060590016021001,5,0,0,4,0
060590016021002,2,0,0,0,0
060590016021003,3,0,0,3,0
060590016021004,3,0,0,3,0
060590016021005,7,0,0,7,0
060590016021008,15,0,3,12,0
060590016021009,2,0,0,2,0
060590016021010,9,0,0,8,0
060590016021011,10,0,1,0,0
060590016022000,27,0,1,0,0
060590016022001,148,0,76,0,0
060590016022002,7,0,0,0,0
060590016022004,49,10,1,0,0
060590016023000,13,0,0,0,11
060590016023001,11,0,0,0,11
060590016023002,63,0,3,0,55
060590016023003,81,40,11,0,0
060590016023004,6,0,0,0,6
060590016023005,17,0,5,0,8
060590016023006,10,6,0,0,0
060590016023007,18,9,0,0,0
060590016023008,8,0,0,0,0
060590016023009,21,7,2,0,0
060590016023011,16,16,0,0,0
060590016023012,14,14,0,0,0
060590016023013,28,28,0,0,0
060590016024000,4,0,0,0,0
060590016024001,11,0,0,0,0
060590016024002,2,0,0,0,2
060590016024003,4,0,0,0,0
060590016024004,1,0,0,0,0
060590016024005,3,0,0,0,0
060590016024006,176,0,1,0,5
060590016024008,150,0,5,0,36
060590016024009,5,0,0,0,0
060590016025000,12,0,6,0,0
060590016025001,2,0,0,0,0
060590016025002,17,0,0,0,0
060590016025004,337,298,12,0,0
060590016031000,351,0,180,0,57
060590016031001,340,0,271,12,11
060590016031002,550,0,450,22,0
060590016031003,3,0,3,0,0
060590016031004,2,0,0,0,0
060590016031008,25,0,12,0,7
060590016031009,1,0,0,0,0
060590016031011,592,1,478,20,1
060590016031012,991,0,822,30,0
060590016031013,353,0,290,8,0
060590016031014,85,0,49,0,26
060590016031015,218,0,174,11,0
060590016031016,64,0,54,2,0
060590016031017,18,0,0,0,0
060590016031019,13,0,0,0,0
060590016031021,129,0,105,2,0
