GEOID,B01003_E001,B01003_M001
06059001101,5163,647
06059001102,3678,655
06059001103,4907,739
06059001201,5628,665
06059001202,3902,471
06059001301,6936,686
06059001303,6238,751
06059001304,3692,452
06059001401,4708,486
06059001402,4590,426
06059001403,3852,1061
06059001404,3846,505
06059001501,6253,791
06059001503,5435,664
06059001504,4841,446
06059001505,7307,1770
06059001506,4379,408
06059001507,5293,619
06059001602,4458,401
06059001603,3837,674
06059001604,4436,777
06059001704,8362,953
06059001705,4608,700
06059001706,4005,429
06059001708,3796,593
06059001709,2819,449
06059001710,4980,827
06059001801,5542,929
06059001802,7626,1232
06059001901,2904,526
06059001902,3413,765
06059001903,3182,295
06059011000,6426,925
06059011101,4395,555
06059011102,4103,509
06059011200,4710,758
06059011300,5214,990
06059011401,2090,298
06059011402,3198,488
06059011403,6506,628
06059011502,5142,819
06059011503,1827,264
06059011504,4981,460
06059011601,7663,1264
06059011602,6056,993
06059011707,6848,1241
06059011708,4961,599
06059011709,4204,484
06059011710,3908,975
06059011711,7135,733
06059011712,4599,506
06059011714,776,151
06059011715,6875,1020
06059011716,5757,800
06059011717,2769,235
06059011718,3138,228
06059011720,5848,655
06059011721,5368,705
06059011722,2291,324
06059021802,8323,953
06059021807,4310,419
06059021809,3229,288
06059021810,3704,537
06059021812,6529,928
06059021813,3,7
06059021814,7967,839
06059021816,5343,826
06059021817,3227,328
06059021820,4855,710
06059021821,7768,861
06059021822,10081,1112
06059021823,4163,565
06059021824,2650,302
06059021825,3204,552
06059021826,2733,365
06059021827,2749,223
06059021828,4352,672
06059021829,4721,405
06059021830,5685,611
06059021831,5825,605
06059021832,6575,734
06059021903,4368,761
06059021905,5214,700
06059021912,4714,739
06059021913,7872,877
06059021914,4057,480
06059021915,3820,378
06059021916,3324,296
06059021917,2939,300
06059021918,4724,534
06059021919,3336,506
06059021920,7156,853
06059021921,4392,449
06059021922,5022,925
06059021923,7353,982
06059021924,4355,373
06059032002,6189,557
06059032003,4996,711
06059032011,1737,338
06059032012,3463,387
06059032013,5270,503
06059032014,6694,902
06059032015,6323,739
06059032020,6173,850
06059032022,6688,816
06059032027,6372,714
06059032028,4492,1512
06059032029,4069,450
06059032030,3533,273
06059032031,3340,428
06059032032,2839,311
06059032033,3860,784
06059032034,5088,456
06059032035,2427,377
06059032036,3378,451
06059032037,6042,2051
06059032038,6354,911
06059032039,6589,773
06059032040,2500,217
06059032041,941,145
06059032042,5855,701
06059032043,3176,235
06059032044,5931,941
06059032045,3574,558
06059032046,6368,711
06059032047,4420,527
06059032048,5114,487
06059032049,10447,1269
06059032050,4952,547
06059032051,4450,583
06059032053,8805,1118
06059032054,5283,857
06059032055,3430,465
06059032057,8030,754
06059032058,7265,517
06059032059,9216,711
06059032061,5772,759
06059032062,4442,524
06059032063,7974,952
06059032064,2517,534
06059032065,5547,566
06059032066,6863,877
06059042106,2130,336
06059042107,3372,584
06059042108,5403,806
06059042109,4206,450
06059042111,5632,637
06059042112,7881,1410
06059042113,4296,479
06059042114,3646,471
06059042115,1241,167
06059042116,6502,939
06059042201,5148,906
06059042203,9755,1074
06059042205,6026,578
06059042206,3600,467
06059042305,3680,433
06059042307,7081,797
06059042311,6837,767
06059042312,7516,942
06059042313,5814,590
06059042315,5881,708
06059042317,3254,516
06059042319,3636,682
06059042320,6269,787
06059042323,4559,560
06059042324,3872,456
06059042325,3516,415
06059042326,4572,437
06059042327,4702,503
06059042328,2460,481
06059042329,3704,398
06059042330,6681,762
06059042331,6141,892
06059042332,5448,702
06059042333,4591,710
06059042334,5302,780
06059042335,5909,580
06059042336,3817,388
06059042337,3389,472
06059042338,5049,844
06059042339,3224,535
06059042340,2180,642
06059042341,6180,728
06059052408,5630,644
06059052410,5483,783
06059052411,5302,831
06059052415,4352,577
06059052416,4283,744
06059052417,7898,1842
06059052419,3373,435
06059052421,8801,989
06059052422,11632,1213
06059052423,5491,547
06059052424,5056,703
06059052425,5883,996
06059052427,5570,599
06059052428,6186,687
06059052429,9224,952
06059052430,16631,1812
06059052431,4537,777
06059052432,7641,752
06059052433,14319,1728
06059052434,6662,1546
06059052435,7750,1308
06059052436,5183,648
06059052437,4439,675
06059052438,5993,765
06059052439,7401,1107
06059052502,5638,495
06059052505,4855,524
06059052506,2750,301
06059052511,6825,916
06059052513,5890,630
06059052514,5892,903
06059052518,7453,775
06059052519,4288,505
06059052520,3785,583
06059052521,6017,957
06059052522,3943,425
06059052523,4483,491
06059052524,7717,919
06059052526,4552,492
06059052527,8730,1022
06059052528,4481,729
06059052529,3177,776
06059052530,6760,1267
06059052531,4146,920
06059052532,5873,749
06059052533,7193,904
06059052534,2858,728
06059052535,5716,1157
06059062605,2946,354
06059062610,12009,1097
06059062611,4818,567
06059062614,17960,2634
06059062619,3875,502
06059062620,5004,541
06059062622,4390,359
06059062625,4392,929
06059062626,2695,368
06059062627,3974,789
06059062628,3778,327
06059062629,2296,197
06059062630,1736,270
06059062631,3314,346
06059062632,4266,411
06059062633,6582,565
06059062634,4719,386
06059062635,4752,858
06059062636,4116,750
06059062637,5779,710
06059062638,6308,612
06059062639,8344,1050
06059062640,3591,415
06059062641,4950,431
06059062642,3125,485
06059062643,6536,619
06059062645,6445,694
06059062646,3372,315
06059062647,4866,686
06059062648,3280,318
06059062649,3571,327
06059062650,5072,659
06059062651,3086,584
06059062652,5107,426
06059062653,6538,777
06059062654,6971,1744
06059062655,4329,645
06059062656,3245,896
06059062657,3556,724
06059062658,5022,528
06059062701,2817,376
06059062702,4702,862
06059062800,3516,678
06059062900,1717,252
06059063004,5966,642
06059063005,1444,136
06059063006,2471,452
06059063007,6716,920
06059063008,2062,687
06059063009,1718,204
06059063010,6465,796
06059063101,3168,359
06059063102,6295,492
06059063103,3582,867
06059063201,3760,423
06059063202,3494,492
06059063301,3244,423
06059063302,4145,408
06059063400,5164,628
06059063500,5993,905
06059063601,4438,761
06059063603,5220,567
06059063604,4401,587
06059063605,5572,881
06059063701,6102,857
06059063702,6159,691
06059063802,3108,545
06059063803,4342,662
06059063805,2683,360
06059063806,3859,565
06059063807,4789,554
06059063808,5188,483
06059063902,6814,814
06059063903,3804,415
06059063904,4448,626
06059063905,3740,408
06059063906,6654,1379
06059063908,5826,751
06059063909,3653,508
06059063910,4548,558
06059074003,3553,265
06059074004,7658,1328
06059074005,7147,1001
06059074006,5896,953
06059074102,6220,1015
06059074103,5579,765
06059074106,6371,767
06059074107,5777,642
06059074108,4829,617
06059074109,3044,326
06059074110,3570,401
06059074111,5533,829
06059074200,9032,1408
06059074300,3837,458
06059074403,5677,635
06059074405,6905,814
06059074406,3581,438
06059074407,6812,1163
06059074408,5635,677
06059074501,6450,766
06059074502,5523,813
06059074601,7621,1224
06059074602,8047,716
06059074701,6657,947
06059074702,6074,1083
06059074801,5205,796
06059074802,6086,843
06059074803,8836,1169
06059074805,4687,833
06059074806,5276,754
