GEOID,B01003_E001,B01003_M001
06059074901,8765,1086
06059074902,6312,913
06059075002,7808,1440
06059075003,7219,859
06059075004,4727,675
06059075100,9544,1293
06059075201,5541,472
06059075202,5552,1420
06059075301,5162,632
06059075302,4688,774
06059075303,3183,571
06059075401,4592,823
06059075403,8015,832
06059075404,7509,1293
06059075405,3050,281
06059075504,3957,593
06059075505,3292,375
06059075506,3381,367
06059075507,5154,527
06059075512,3588,578
06059075513,5083,651
06059075514,3975,423
06059075516,8929,1648
06059075517,6099,1473
06059075518,10073,1604
06059075603,4083,489
06059075604,7162,676
06059075605,6145,1006
06059075606,5991,772
06059075607,7079,1056
06059075701,6976,1067
06059075702,3387,258
06059075703,4568,696
06059075805,3941,609
06059075806,5848,690
06059075807,4617,1104
06059075808,3210,374
06059075809,3200,435
06059075810,2941,450
06059075811,3216,401
06059075812,5969,537
06059075813,4986,474
06059075814,2899,367
06059075815,5677,1107
06059075816,3254,283
06059075901,3959,607
06059075902,6870,864
06059076001,8194,1285
06059076002,1279,263
06059076102,8914,912
06059076103,9847,1239
06059076104,5437,586
06059076105,4086,656
06059076201,8277,1041
06059076202,5905,696
06059076204,3624,417
06059076205,7361,967
06059076206,5604,778
06059076208,5441,546
06059086301,7008,801
06059086303,9080,1768
06059086304,4256,477
06059086305,4464,1153
06059086306,3959,504
06059086402,6515,1551
06059086404,6574,1179
06059086405,6778,664
06059086406,4347,607
06059086407,6701,864
06059086501,4130,632
06059086502,6430,1037
06059086601,9054,1097
06059086602,6404,559
06059086701,8720,1079
06059086702,7831,1170
06059086801,3539,461
06059086802,5823,710
06059086803,8386,815
06059086901,8288,795
06059086902,6213,1061
06059086903,6474,666
06059087001,5919,1096
06059087002,7210,712
06059087101,5013,666
06059087102,7009,822
06059087103,8766,853
06059087105,5346,1330
06059087106,4921,988
06059087200,7808,901
06059087301,4432,884
06059087302,7050,1454
06059087401,5158,683
06059087403,3001,283
06059087404,4162,937
06059087405,4775,570
06059087503,6011,1146
06059087504,7534,885
06059087505,4676,646
06059087601,4910,547
06059087602,8780,1636
06059087701,5830,914
06059087703,6440,846
06059087704,5233,562
06059087801,4683,455
06059087802,8332,1521
06059087803,5970,945
06059087805,6577,500
06059087806,6105,783
06059087901,3672,585
06059087902,4985,740
06059088001,4673,662
06059088002,4270,657
06059088101,1999,299
06059088104,4622,528
06059088105,4685,825
06059088106,5244,702
06059088107,6175,750
06059088201,3799,504
06059088202,3631,632
06059088203,5207,523
06059088301,5797,576
06059088302,6287,871
06059088401,5111,1036
06059088402,4341,516
06059088403,6363,917
06059088501,7366,835
06059088502,5252,596
06059088601,7481,1100
06059088602,4471,523
06059088701,6134,802
06059088702,6001,632
06059088801,7657,744
06059088802,5403,763
06059088901,6729,665
06059088902,5543,845
06059088903,8643,939
06059088904,4890,451
06059088905,4939,731
06059089001,6083,625
06059089003,4446,577
06059089004,6517,917
06059089102,6475,849
06059089104,5506,624
06059089105,6309,693
06059089106,4297,629
06059089107,5998,901
06059099202,7242,645
06059099203,5386,886
06059099204,5167,1045
06059099212,5611,986
06059099214,3574,413
06059099215,5593,657
06059099216,4594,403
06059099217,2504,341
06059099220,5528,730
06059099222,5465,995
06059099223,5538,728
06059099224,3190,335
06059099225,4049,752
06059099226,3777,487
06059099227,5910,597
06059099229,5994,624
06059099230,4435,393
06059099231,5048,418
06059099232,5498,594
06059099233,3319,561
06059099234,4351,1287
06059099235,5608,827
06059099237,3161,387
06059099238,4125,649
06059099239,3761,343
06059099240,5346,924
06059099241,3870,461
06059099242,3626,639
06059099243,4068,567
06059099244,3639,293
06059099245,2572,236
06059099246,3149,288
06059099247,2836,327
06059099248,5343,742
06059099249,3870,427
06059099250,3427,889
06059099251,5619,607
06059099305,7133,716
06059099306,6122,865
06059099307,2474,357
06059099308,6120,1398
06059099309,4663,606
06059099310,4157,539
06059099311,3421,394
06059099402,8152,1170
06059099404,4449,623
06059099405,4229,496
06059099406,4843,682
06059099407,2200,165
06059099408,4330,400
06059099410,4565,911
06059099411,5596,795
06059099412,5009,751
06059099415,4942,419
06059099416,6096,1205
06059099417,5132,787
06059099418,3904,460
06059099419,4179,643
06059099502,792,154
06059099504,3686,834
06059099506,957,177
06059099508,4987,779
06059099509,3283,310
06059099510,4467,405
06059099511,2709,332
06059099512,2720,356
06059099513,1638,177
06059099514,5662,684
06059099601,7510,854
06059099602,2971,351
06059099603,6553,522
06059099604,4006,657
06059099605,5564,760
06059099701,6550,1327
06059099702,8304,1113
06059099703,5674,490
06059099801,6260,1111
06059099802,4611,448
06059099803,5893,856
06059099902,4458,920
06059099903,5610,1139
06059099904,5737,590
06059099905,3412,429
06059099906,5327,416
06059110001,4543,619
06059110003,2905,318
06059110004,4622,481
06059110005,3156,369
06059110006,3217,401
06059110007,5380,759
06059110008,4861,986
06059110010,4306,336
06059110011,2798,292
06059110012,5436,509
06059110014,4900,494
06059110015,3705,409
06059110102,5971,525
06059110104,5983,572
06059110106,3736,403
06059110108,2977,521
06059110109,6068,714
06059110110,5306,526
06059110111,5724,589
06059110113,2035,268
06059110114,5036,591
06059110115,3691,387
06059110116,4706,453
06059110117,6942,948
06059110118,2418,329
06059110201,8506,870
06059110202,7954,1190
06059110203,5940,729
06059110301,7229,1058
06059110302,6047,909
06059110303,5118,662
06059110304,4692,1001
06059110401,4960,473
06059110402,5815,827
06059110500,8102,899
06059110603,7898,1112
06059110604,9189,1599
06059110605,6510,926
06059110606,4256,410
06059110607,4334,532
06059980000,32,17
06059990100,0,13
