GEOID,B25044_E001,B25044_E003,B25044_E010,B25044_M001,B25044_M003,B25044_M010
06059052404,96,0,0,63,12,12
06059052408,2281,34,18,95,36,29
06059052410,2161,44,65,109,47,57
06059052411,1382,0,11,58,17,17
06059052415,1281,0,0,52,12,12
06059052416,1293,6,0,52,9,12
06059052417,4152,68,86,138,57,98
06059052418,7627,110,34,275,133,40
06059052419,1155,8,11,52,12,17
06059052420,7601,50,0,322,80,23
06059052421,2163,32,40,104,31,37
06059052422,1721,0,21,105,12,23
06059052423,2196,69,17,108,102,27
06059052424,1865,24,60,104,23,51
06059052425,2574,15,69,118,25,53
06059052426,5129,37,16,164,40,26
06059052427,1855,0,19,47,17,22
06059052428,2207,52,0,80,51,17
06059052502,1931,39,0,86,29,17
06059052505,2077,80,23,101,59,26
06059052506,823,21,0,37,16,12
06059052511,2146,0,119,114,17,121
06059052513,2184,0,116,165,17,53
06059052514,2156,13,165,73,21,94
06059052515,3203,18,12,99,31,19
06059052517,4729,50,37,185,62,44
06059052518,2872,0,119,170,17,57
06059052519,1569,9,23,61,17,20
06059052520,1282,23,83,65,21,65
06059052521,2159,0,154,139,17,108
06059052522,1420,8,41,55,12,29
06059052523,1472,0,41,82,12,52
06059052524,2984,0,49,130,17,76
06059052525,6248,35,121,266,58,144
06059052526,1381,9,24,31,13,28
06059052527,2800,28,93,52,30,100
06059052528,1265,9,31,35,15,36
06059062604,6412,46,63,351,76,103
06059062605,1695,53,54,141,48,51
06059062610,4879,0,251,290,17,137
06059062611,1727,48,170,72,33,87
06059062612,2962,45,90,118,46,61
06059062614,4128,24,585,198,29,198
06059062619,1750,40,31,133,31,29
06059062620,2201,13,20,186,21,32
06059062621,3566,41,22,170,51,24
06059062622,2592,204,145,172,115,104
06059062625,1921,105,30,101,63,22
06059062626,966,0,76,54,12,48
06059062627,1478,48,257,94,55,85
06059062628,941,0,13,47,12,14
06059062629,870,9,0,47,9,12
06059062630,775,10,0,20,11,12
06059062631,1183,16,0,81,12,12
06059062632,1649,0,27,153,12,24
06059062633,1884,8,0,53,13,17
06059062634,1966,0,0,100,17,17
06059062635,1631,0,5,68,12,10
06059062636,1449,9,89,66,15,59
06059062637,2204,0,46,116,12,42
06059062638,2345,0,26,148,17,43
06059062639,2761,15,174,65,25,81
06059062640,1560,7,8,89,12,13
06059062641,1998,28,272,100,27,93
06059062642,1310,49,0,73,55,12
06059062643,2762,46,0,153,35,17
06059062644,3148,74,109,185,61,93
06059062645,2594,18,19,166,28,31
06059062646,2581,253,151,146,114,102
06059062647,2105,74,260,144,51,111
06059062648,1881,130,86,92,61,44
06059062649,2012,90,61,87,43,56
06059062701,1284,44,23,127,31,35
06059062702,2285,15,96,183,25,94
06059062800,1838,23,13,194,26,20
06059062900,750,15,16,61,13,14
06059063004,3177,15,190,199,23,128
06059063005,804,0,17,75,12,14
06059063006,1425,17,6,125,14,12
06059063007,2872,38,50,199,43,45
06059063008,511,6,0,65,9,12
06059063009,702,0,0,52,12,12
06059063010,3153,38,68,230,43,108
06059063101,1227,9,0,53,14,12
06059063102,2792,9,63,132,16,65
06059063103,1034,30,27,75,29,25
06059063201,1609,17,0,74,19,12
06059063202,1483,0,70,87,12,41
06059063301,1351,9,18,74,15,21
06059063302,1688,10,15,80,15,18
06059063400,1891,63,11,121,63,16
06059063500,2627,31,115,211,34,99
06059063601,1386,10,10,37,16,15
06059063603,3131,36,238,189,32,128
06059063604,1509,16,64,73,15,48
06059063605,1420,0,123,75,17,67
06059063701,1503,19,159,93,21,72
06059063702,1996,19,58,96,22,42
06059063802,1031,10,0,46,16,12
06059063803,1646,23,0,63,21,12
06059063805,885,23,0,22,20,12
06059063806,1398,7,5,40,12,10
06059063807,1981,0,161,112,17,85
06059063808,1519,7,83,64,10,62
06059063902,2560,0,169,106,17,109
06059063903,1108,24,0,56,20,12
06059063904,1294,9,27,52,13,25
06059063905,1731,24,72,110,22,53
06059063906,2320,0,54,45,17,41
06059063907,3533,0,89,182,17,93
06059063908,2470,7,91,122,12,62
06059074003,1257,37,17,61,30,19
06059074004,2311,31,42,48,36,44
06059074005,1552,0,59,69,17,52
06059074006,1957,34,60,57,46,46
06059074102,1355,6,75,29,11,52
06059074103,950,25,14,26,19,23
06059074106,1910,8,36,57,13,40
06059074107,2570,43,86,84,59,73
06059074108,913,13,15,38,17,23
06059074109,680,0,12,19,12,20
06059074110,963,21,0,24,18,12
06059074111,1333,47,0,51,37,17
06059074200,1751,32,61,55,39,48
06059074300,818,14,10,36,14,13
06059074403,1301,0,87,38,17,45
06059074405,1566,0,107,54,17,62
06059074406,768,14,59,41,16,33
06059074407,1662,39,126,91,30,54
06059074408,1619,0,67,73,17,55
06059074501,1412,15,239,45,25,85
06059074502,1023,19,48,28,16,40
06059074601,1688,34,153,54,33,90
06059074602,1626,22,88,82,17,57
06059074701,1464,23,46,26,22,38
06059074702,1105,22,69,49,21,46
06059074801,1012,5,58,31,7,36
06059074802,1268,13,103,25,15,66
06059074803,1865,27,102,52,23,65
06059074805,994,4,127,39,9,48
06059074806,931,5,17,33,7,19
06059074901,1865,13,219,73,18,71
06059074902,1204,8,34,37,12,39
06059075002,2249,26,545,103,29,154
06059075003,1629,0,243,63,17,81
06059075004,1342,0,209,28,17,92
06059075100,2025,24,191,55,38,75
06059075201,1110,26,42,49,23,50
06059075202,1137,28,74,56,24,66
06059075301,1553,6,99,66,10,66
06059075302,1138,27,0,28,25,12
06059075303,1144,0,9,91,12,14
06059075401,1211,10,41,67,15,33
06059075403,2469,13,76,99,20,71
06059075404,2004,32,22,104,42,32
06059075405,974,12,21,28,12,22
06059075504,1521,37,69,56,28,50
06059075505,1264,15,67,89,22,42
06059075506,1188,31,13,55,27,20
06059075507,1911,11,167,81,16,70
06059075512,1182,26,50,49,27,37
06059075513,1513,0,38,70,17,31
06059075514,1178,7,100,44,10,65
06059075515,6531,32,379,322,51,209
06059075603,1467,20,10,39,22,16
06059075604,2676,34,114,93,38,88
06059075605,2134,0,0,78,17,17
06059075606,2306,14,0,138,22,17
06059075607,2640,33,94,169,40,71
06059075701,2136,0,17,69,17,27
06059075702,1168,10,57,57,15,52
06059075703,1433,21,0,38,22,12
06059075805,1241,20,8,75,20,11
06059075806,2053,0,70,78,17,73
06059075807,1179,15,33,62,18,43
06059075808,1099,32,0,48,30,12
06059075809,1040,8,0,77,14,12
06059075810,995,21,0,58,20,12
06059075811,814,13,9,26,12,10
06059075812,1855,8,39,60,11,33
06059075813,1682,14,0,50,17,12
06059075814,1062,10,0,61,17,12
06059075815,1582,7,19,58,13,21
06059075816,1222,0,57,29,12,31
06059075901,1479,49,47,80,40,39
06059075902,2718,0,234,110,17,111
06059076000,3337,67,147,122,55,84
06059076101,3549,17,64,170,27,53
06059076102,1563,0,201,69,17,60
06059076103,2519,24,76,90,26,71
06059076201,2385,0,35,108,17,43
06059076202,1924,29,20,85,25,32
06059076204,1152,8,8,62,11,13
06059076205,1569,7,78,69,10,69
06059076206,1569,22,26,38,33,41
06059076208,1623,36,36,63,29,24
06059086301,1749,41,52,47,41,47
06059086303,2693,12,67,131,19,75
