GEOID,B01003_E001,B01003_M001
06059063201,3518,405
06059063202,3921,477
06059063301,3194,459
06059063302,3869,425
06059063400,4799,513
06059063500,5601,1142
06059063601,4277,734
06059063603,5888,679
06059063604,4290,595
06059063605,6134,805
06059063701,5712,895
06059063702,5972,652
06059063802,3028,554
06059063803,4242,573
06059063805,2665,351
06059063806,3790,583
06059063807,4727,724
06059063808,4736,439
06059063902,6784,851
06059063903,3829,402
06059063904,4663,728
06059063905,3973,442
06059063906,5820,1493
06059063908,5829,773
06059063909,3669,510
06059063910,4580,522
06059074003,3378,345
06059074004,8512,1550
06059074005,7168,1027
06059074006,6246,964
06059074102,6438,914
06059074103,5256,821
06059074106,6886,840
06059074107,6099,661
06059074108,4632,653
06059074109,3012,308
06059074110,3798,421
06059074111,5429,746
06059074200,8168,1334
06059074300,3831,454
06059074403,5111,643
06059074405,6796,903
06059074406,3793,429
06059074407,6678,1089
06059074408,5645,678
06059074501,5979,785
06059074502,5413,739
06059074601,7456,1306
06059074602,7866,737
06059074701,7051,996
06059074702,5628,1026
06059074801,5137,970
06059074802,5401,665
06059074803,9466,1218
06059074805,4557,891
06059074806,5423,758
06059074901,8726,1096
06059074902,6027,925
06059075002,8047,1219
06059075003,7335,850
06059075004,4766,633
06059075100,8832,1259
06059075201,5451,528
06059075202,5921,1368
06059075301,5142,565
06059075302,4802,761
06059075303,3254,498
06059075401,4813,804
06059075403,7921,819
06059075404,7425,1195
06059075405,3142,273
06059075504,4026,520
06059075505,3288,400
06059075506,3270,341
06059075507,5552,623
06059075512,3713,511
06059075513,4918,622
06059075514,3602,446
06059075516,10923,1769
06059075517,5805,1423
06059075518,10706,1505
06059075603,4110,451
06059075604,7170,647
06059075605,5761,940
06059075606,6208,695
06059075607,6593,900
06059075701,7397,899
06059075702,3087,315
06059075703,4549,582
06059075805,4159,536
06059075806,6165,632
06059075807,5050,1065
06059075808,3223,330
06059075809,3270,458
06059075810,2863,441
06059075811,3293,408
06059075812,6119,702
06059075813,4829,452
06059075814,2938,395
06059075815,5249,1039
06059075816,3372,276
06059075901,4303,533
06059075902,6543,841
06059076001,8592,1139
06059076002,2181,399
06059076102,8170,797
06059076103,9649,1189
06059076104,5824,743
06059076105,4425,638
06059076201,7516,985
06059076202,5750,655
06059076204,3922,351
06059076205,6878,606
06059076206,5879,938
06059076208,5524,480
06059086301,6486,763
06059086303,13233,2228
06059086304,4427,469
06059086305,4713,1134
06059086306,3905,591
06059086402,6078,1527
06059086404,6650,1106
06059086405,6336,685
06059086406,4000,631
06059086407,6498,842
06059086501,3546,697
06059086502,6662,1004
06059086601,8433,1032
06059086602,5769,663
06059086701,8211,875
06059086702,7307,1133
06059086801,3483,392
06059086802,5700,728
06059086803,8032,995
06059086901,8479,872
06059086902,6028,1024
06059086903,6123,684
06059087001,5458,1090
06059087002,7140,912
06059087101,4587,553
06059087102,6521,795
06059087103,8566,982
06059087105,5565,1300
06059087106,4881,1184
06059087200,7200,956
06059087301,4331,674
06059087302,6568,1425
06059087401,5695,663
06059087403,2559,318
06059087404,4580,988
06059087405,4785,483
06059087503,5971,1025
06059087504,6718,863
06059087505,4705,598
06059087601,4653,549
06059087602,8169,1574
06059087701,5554,954
06059087703,6554,887
06059087704,5010,626
06059087801,4960,487
06059087802,8467,1712
06059087803,6358,919
06059087805,6547,502
06059087806,6078,887
06059087901,3596,559
06059087902,4821,651
06059088001,4413,551
06059088002,4237,828
06059088101,2245,317
06059088104,4554,610
06059088105,4835,906
06059088106,5328,714
06059088107,6039,735
06059088201,4161,478
06059088202,3534,622
06059088203,4413,502
06059088301,5692,618
06059088302,6423,835
06059088401,5376,1055
06059088402,4216,500
06059088403,6923,889
06059088501,7489,819
06059088502,5040,507
06059088601,7095,1113
06059088602,4233,559
06059088701,6115,784
06059088702,5364,560
06059088801,7574,692
06059088802,5572,802
06059088901,6559,619
06059088902,5327,730
06059088903,8509,845
06059088904,4904,481
06059088905,5216,648
06059089001,6318,577
06059089003,4334,615
06059089004,6765,827
06059089102,6568,917
06059089104,4907,619
06059089105,5910,629
06059089106,3992,558
06059089107,5833,912
06059099202,6876,595
06059099203,5567,864
06059099204,5073,1076
06059099212,5629,955
06059099214,3777,422
06059099215,5913,709
06059099216,4308,492
06059099217,2463,353
06059099220,5521,767
06059099222,5540,1030
06059099223,6039,708
06059099224,2739,317
06059099225,4014,698
06059099226,3758,482
06059099227,5969,594
06059099229,5879,583
06059099230,4337,356
06059099231,4848,326
06059099232,6579,718
06059099233,3283,545
06059099234,4302,1277
06059099235,5265,909
06059099237,3209,484
06059099238,3962,627
06059099239,3451,423
06059099240,5034,948
06059099241,4214,414
06059099242,3458,631
06059099243,4228,523
06059099244,3817,304
06059099245,2570,253
06059099246,3320,347
06059099247,2753,363
06059099248,5094,726
06059099249,3359,364
06059099250,3327,908
06059099251,5280,618
06059099305,7746,684
06059099306,6248,962
06059099307,2406,339
06059099308,5837,1427
06059099309,4713,590
06059099310,4140,496
06059099311,3595,431
06059099402,7679,1200
06059099404,4545,641
06059099405,4264,485
06059099406,4617,646
06059099407,2133,144
06059099408,3878,452
06059099410,4525,762
06059099411,5123,871
06059099412,4775,749
06059099415,4779,412
06059099416,5854,1122
06059099417,5470,768
06059099418,3981,577
06059099419,3933,611
06059099502,649,213
06059099504,3554,814
06059099506,863,229
06059099508,5329,820
06059099509,3433,285
06059099510,4262,445
06059099511,2662,328
06059099512,3247,270
06059099513,1749,263
06059099514,5227,622
06059099601,7364,902
06059099602,2953,420
06059099603,5971,431
06059099604,3775,582
06059099605,5476,785
06059099701,5937,1033
06059099702,7814,951
06059099703,5248,411
06059099801,6449,1246
06059099802,4602,518
06059099803,5593,756
06059099902,4809,916
06059099903,5240,1136
06059099904,5437,633
06059099905,3136,409
06059099906,5383,491
06059110001,4604,640
06059110003,2761,308
06059110004,4506,414
06059110005,3363,324
06059110006,3150,424
06059110007,5074,691
06059110008,5097,969
06059110010,4352,417
06059110011,2812,258
06059110012,5157,507
06059110014,4760,532
06059110015,3699,419
06059110102,5955,494
06059110104,6133,576
06059110106,3552,386
06059110108,3128,510
06059110109,5641,713
06059110110,5260,478
06059110111,5449,546
06059110113,2353,255
06059110114,4662,531
06059110115,3463,349
06059110116,4672,457
06059110117,7475,1044
06059110118,2280,305
06059110201,8291,891
06059110202,8062,1088
06059110203,5720,705
06059110301,6773,1032
06059110302,6286,1026
06059110303,4713,482
06059110304,4535,1097
06059110401,4843,497
06059110402,5734,831
06059110500,7835,840
06059110603,8251,995
06059110604,9324,1539
06059110605,6171,990
06059110606,4082,351
06059110607,4120,521
06059980000,17,8
06059990100,0,14
