GEOID,B01003_E001,B01003_M001
06059001101,4727,654
06059001102,3309,581
06059001103,5338,762
06059001201,5311,667
06059001202,3840,626
06059001301,6903,672
06059001303,5984,779
06059001304,3469,440
06059001401,4954,417
06059001402,4815,437
06059001403,3811,1057
06059001404,3542,481
06059001501,6237,831
06059001503,5220,691
06059001504,4918,415
06059001505,7277,1736
06059001506,4498,458
06059001507,5954,721
06059001602,4767,347
06059001603,3975,679
06059001604,4398,787
06059001704,8106,878
06059001705,4499,652
06059001706,3914,392
06059001708,3670,526
06059001709,2663,381
06059001710,4829,790
06059001801,5435,899
06059001802,7617,1236
06059001901,2824,481
06059001902,3204,794
06059001903,3352,354
06059011000,6274,900
06059011101,4304,608
06059011102,4258,518
06059011200,4816,831
06059011300,5483,799
06059011401,2097,259
06059011402,3061,473
06059011403,6183,698
06059011502,5013,815
06059011503,1738,249
06059011504,4934,528
06059011601,7732,1329
06059011602,5707,1092
06059011707,6773,1277
06059011708,5241,701
06059011709,4151,481
06059011710,3989,980
06059011711,6254,644
06059011712,4525,501
06059011714,947,152
06059011715,6946,977
06059011716,5440,789
06059011717,2865,288
06059011718,3186,197
06059011720,5483,642
06059011721,5086,584
06059011722,2523,397
06059021802,8738,1199
06059021807,4134,330
06059021809,3184,302
06059021810,3926,500
06059021812,6141,957
06059021813,40,44
06059021814,7984,894
06059021816,5461,859
06059021817,3269,333
06059021820,4902,754
06059021821,7494,740
06059021822,9447,1195
06059021823,3662,543
06059021824,2454,312
06059021825,3084,534
06059021826,2729,428
06059021827,2910,215
06059021828,4298,687
06059021829,4220,431
06059021830,5893,641
06059021831,5466,624
06059021832,6703,856
06059021903,4555,741
06059021905,5483,699
06059021912,4731,790
06059021913,8062,836
06059021914,3850,416
06059021915,3791,355
06059021916,3542,258
06059021917,3022,360
06059021918,4819,455
06059021919,3224,549
06059021920,7240,877
06059021921,4449,461
06059021922,5385,969
06059021923,7078,893
06059021924,4372,374
06059032002,5587,685
06059032003,4884,703
06059032011,1640,321
06059032012,3209,338
06059032013,5112,583
06059032014,5887,741
06059032015,6434,703
06059032020,6271,857
06059032022,6509,889
06059032027,6289,702
06059032028,4346,1491
06059032029,4021,450
06059032030,3479,276
06059032031,3367,388
06059032032,2789,348
06059032033,3908,780
06059032034,5352,401
06059032035,2258,361
06059032036,3120,426
06059032037,5778,2105
06059032038,6692,892
06059032039,6095,739
06059032040,2408,226
06059032041,1010,131
06059032042,6065,765
06059032043,3262,231
06059032044,5723,962
06059032045,3336,520
06059032046,6304,731
06059032047,4494,591
06059032048,4981,500
06059032049,10416,1199
06059032050,4708,535
06059032051,4403,676
06059032053,8412,1042
06059032054,5186,847
06059032055,3428,416
06059032057,7324,929
06059032058,6667,689
06059032059,8745,759
06059032061,5991,828
06059032062,4449,486
06059032063,7449,863
06059032064,2632,474
06059032065,5531,515
06059032066,8367,952
06059042106,2001,391
06059042107,3569,548
06059042108,5784,777
06059042109,4407,559
06059042111,5770,614
06059042112,8012,1325
06059042113,4108,471
06059042114,3793,538
06059042115,1043,137
06059042116,6005,954
06059042201,5533,796
06059042203,9590,1134
06059042205,5266,598
06059042206,3475,385
06059042305,3518,415
06059042307,7013,783
06059042311,6754,743
06059042312,8252,840
06059042313,5363,585
06059042315,6479,655
06059042317,3407,522
06059042319,3587,557
06059042320,6150,756
06059042323,4500,568
06059042324,4060,467
06059042325,3692,442
06059042326,4478,452
06059042327,4524,446
06059042328,2277,432
06059042329,3576,403
06059042330,6421,753
06059042331,5299,844
06059042332,5649,674
06059042333,5400,666
06059042334,4508,721
06059042335,5629,608
06059042336,4024,414
06059042337,3383,476
06059042338,5009,758
06059042339,3118,570
06059042340,2570,596
06059042341,6061,701
06059052408,5463,684
06059052410,5093,735
06059052411,4930,722
06059052415,4302,534
06059052416,4246,737
06059052417,7725,1826
06059052419,3115,346
06059052421,9672,1145
06059052422,11531,1073
06059052423,5895,547
06059052424,5079,678
06059052425,7147,1127
06059052427,5424,646
06059052428,6890,720
06059052429,9038,928
06059052430,16914,1893
06059052431,4615,797
06059052432,7416,669
06059052433,16231,1973
06059052434,6792,859
06059052435,7040,1661
06059052436,5044,635
06059052437,6065,816
06059052438,7561,744
06059052439,11539,1257
06059052502,5635,612
06059052505,4646,427
06059052506,2557,319
06059052511,6670,910
06059052513,5401,573
06059052514,5531,921
06059052518,7734,710
06059052519,4115,476
06059052520,3422,564
06059052521,6470,902
06059052522,3700,337
06059052523,4267,514
06059052524,7680,862
06059052526,3745,486
06059052527,7979,1023
06059052528,3929,686
06059052529,2968,755
06059052530,6326,1186
06059052531,4214,870
06059052532,5686,734
06059052533,7097,832
06059052534,2436,699
06059052535,5025,834
06059062605,3105,331
06059062610,13102,1586
06059062611,4006,506
06059062614,22172,1748
06059062619,3764,528
06059062620,4950,569
06059062622,4324,385
06059062625,4688,867
06059062626,2223,358
06059062627,3869,778
06059062628,3375,234
06059062629,2405,190
06059062630,1631,240
06059062631,3141,323
06059062632,3960,478
06059062633,6488,544
06059062634,4616,405
06059062635,4675,828
06059062636,3898,801
06059062637,5740,699
06059062638,6053,614
06059062639,8494,1062
06059062640,3253,331
06059062641,5351,512
06059062642,3000,463
06059062643,6756,670
06059062645,6029,714
06059062646,3328,362
06059062647,4671,655
06059062648,3110,403
06059062649,3253,367
06059062650,4895,633
06059062651,3184,617
06059062652,4882,437
06059062653,7642,839
06059062654,7668,1616
06059062655,3916,472
06059062656,3363,545
06059062657,3437,672
06059062658,4989,409
06059062701,2529,350
06059062702,4275,945
06059062800,3406,625
06059062900,1699,227
06059063004,5695,588
06059063005,1539,206
06059063006,2285,468
06059063007,6588,973
06059063008,2570,692
06059063009,1661,225
06059063010,6759,871
06059063101,2823,364
06059063102,6240,485
06059063103,3389,879
