GEOID,B08141_E001,B08141_E002,B08141_E003,B08141_E004,B08141_E005,B08141_E016,B08141_E017,B08141_E018,B08141_E019,B08141_E020,B08141_M001,B08141_M002,B08141_M003,B08141_M004,B08141_M005,B08141_M016,B08141_M017,B08141_M018,B08141_M019,B08141_M020
06059062641,2654,8,473,1413,760,11,0,0,11,0,304,13,226,306,243,18,19,19,18,19
06059062642,1221,27,105,594,495,0,0,0,0,0,272,41,52,171,204,14,14,14,14,14
06059062643,2700,0,329,646,1725,0,0,0,0,0,432,19,225,184,416,19,19,19,19,19
06059062645,2940,20,748,1458,714,0,0,0,0,0,485,33,268,338,368,19,19,19,19,19
06059062646,611,31,396,184,0,0,0,0,0,0,208,35,188,112,14,14,14,14,14,14
06059062647,2066,12,608,1254,192,33,0,0,33,0,384,20,193,398,169,52,14,14,52,14
06059062648,619,9,351,179,80,0,0,0,0,0,176,15,141,82,66,14,14,14,14,14
06059062649,1011,54,423,451,83,21,0,21,0,0,215,61,180,139,83,31,14,31,14,14
06059062650,2494,15,235,859,1385,48,0,48,0,0,465,23,112,286,472,73,14,73,14,14
06059062651,1639,0,343,785,511,63,0,0,47,16,440,14,144,290,353,63,14,14,57,28
06059062652,2527,0,376,978,1173,0,0,0,0,0,335,14,189,224,304,14,14,14,14,14
06059062653,4489,14,1563,2387,525,13,0,0,13,0,516,22,357,452,314,20,19,19,20,19
06059062654,4209,20,693,1885,1611,0,0,0,0,0,949,32,267,722,663,19,19,19,19,19
06059062655,1944,55,395,1104,390,0,0,0,0,0,284,69,143,319,191,14,14,14,14,14
06059062656,1633,37,424,841,331,12,0,0,0,12,360,60,238,349,227,21,14,14,14,21
06059062657,1699,31,774,546,348,0,0,0,0,0,471,47,382,239,212,14,14,14,14,14
06059062658,2024,17,338,841,828,0,0,0,0,0,335,30,143,229,339,14,14,14,14,14
06059062701,1010,0,250,561,199,0,0,0,0,0,214,14,113,175,93,14,14,14,14,14
06059062702,2121,0,530,1007,584,0,0,0,0,0,521,14,214,418,341,14,14,14,14,14
06059062800,2061,52,541,915,553,0,0,0,0,0,584,64,319,463,300,14,14,14,14,14
06059062900,678,0,38,506,134,0,0,0,0,0,169,14,22,162,72,14,14,14,14,14
06059063004,3182,85,775,1825,497,0,0,0,0,0,558,98,223,505,263,19,19,19,19,19
06059063005,742,12,317,298,115,0,0,0,0,0,133,13,105,113,74,14,14,14,14,14
06059063006,1104,0,234,574,296,0,0,0,0,0,367,14,108,259,224,14,14,14,14,14
06059063007,2680,0,578,1391,711,46,0,0,12,34,582,19,254,345,485,58,19,19,22,54
06059063008,1492,0,405,900,187,0,0,0,0,0,645,14,131,681,186,14,14,14,14,14
06059063009,749,0,88,309,352,0,0,0,0,0,137,14,67,83,131,14,14,14,14,14
06059063010,3960,21,1438,1871,630,16,0,0,16,0,680,35,377,636,329,28,19,19,28,19
06059063101,1666,0,296,1169,201,10,0,0,0,10,353,14,128,326,108,14,14,14,14,14
